Protein.ID;Gene;WJ_c_1002 MaxLFQ Intensity;WJ_c_1062 MaxLFQ Intensity;WJ_c_11 MaxLFQ Intensity;WJ_c_203 MaxLFQ Intensity;WJ_d_1002 MaxLFQ Intensity;WJ_d_1062 MaxLFQ Intensity;WJ_d_11 MaxLFQ Intensity;WJ_d_203 MaxLFQ Intensity
MP3B2_HUMAN;MAP1LC3B2;199064.94;152215.83;178866.66;173941.27;135210.84;137031.36;85295.87;101845.28
PGP_HUMAN;PGP;0.0;38575.82;0.0;33513.78;34008.188;49448.688;52824.19;52071.887
RIMC1_HUMAN;RIMOC1;35649.125;20891.594;28695.146;29577.756;32706.908;28114.648;24352.445;0.0
TCAF2_HUMAN;TCAF2;194723.47;0.0;0.0;0.0;153695.75;0.0;0.0;0.0
SMHD1_HUMAN;SMCHD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CAST2_HUMAN;CASTOR2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBP27_HUMAN;USP27X;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RTL8C_HUMAN;RTL8C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BBIP1_HUMAN;BBIP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NUD19_HUMAN;NUDT19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MI4GD_HUMAN;MIF4GD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIFCL_HUMAN;EIF3CL;104146.766;142469.4;116148.164;127466.234;111943.38;80530.97;69276.58;76660.8
GPHRA_HUMAN;GPR89A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MCRI1_HUMAN;MCRIP1;163048.94;213817.83;203718.39;120681.58;0.0;0.0;0.0;0.0
NACAM_HUMAN;NACA;198771.38;210248.64;239586.67;239919.86;222404.06;184351.16;141013.16;151540.77
CK098_HUMAN;C11orf98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
S35U4_HUMAN;SLC35A4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OVOL3_HUMAN;OVOL3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNS2A_HUMAN;DNASE2;44074.992;0.0;33170.504;0.0;42541.652;42982.24;60539.895;0.0
ADAS_HUMAN;AGPS;32472.113;27410.701;29552.713;23747.016;30440.602;24235.707;24049.902;30142.156
KITM_HUMAN;TK2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DX39A_HUMAN;DDX39A;0.0;0.0;0.0;24755.174;0.0;0.0;0.0;18158.533
PDLI1_HUMAN;PDLIM1;98887.016;65654.82;78452.5;62855.73;130114.31;101091.484;114346.945;117773.92
BACH_HUMAN;ACOT7;158495.03;152124.58;152420.83;153647.16;113615.36;152381.48;118061.75;138509.94
MYO1C_HUMAN;MYO1C;129423.8;99453.58;108049.78;116808.71;127823.35;90077.06;123979.766;142344.27
SNP23_HUMAN;SNAP23;0.0;63614.06;56270.977;63814.24;58106.36;67158.84;61684.074;63973.996
AIP_HUMAN;AIP;31511.283;0.0;31255.717;23600.418;26705.773;15785.841;0.0;21847.264
GTPB1_HUMAN;GTPBP1;0.0;0.0;0.0;48862.496;35804.38;0.0;0.0;0.0
STXB3_HUMAN;STXBP3;30206.572;41044.184;36874.85;34351.53;38045.348;38185.273;36323.19;41883.46
ARVC_HUMAN;ARVCF;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SMAP_HUMAN;SMAP;0.0;0.0;0.0;46706.344;0.0;0.0;0.0;0.0
RB27B_HUMAN;RAB27B;0.0;0.0;0.0;48395.48;0.0;0.0;0.0;0.0
AP3B1_HUMAN;AP3B1;48676.977;59297.156;56010.633;47523.836;46635.508;38290.156;0.0;35912.348
LEG8_HUMAN;LGALS8;45117.953;56975.336;42585.54;0.0;0.0;0.0;0.0;28419.027
NDUS8_HUMAN;NDUFS8;83826.81;84943.44;76513.96;67122.02;57413.926;41931.086;90365.6;0.0
PSD11_HUMAN;PSMD11;207901.27;255626.83;222735.34;214118.05;193058.88;175831.97;164752.58;189616.42
PSD12_HUMAN;PSMD12;134358.22;147925.47;158587.12;187472.44;162453.1;139347.34;128501.94;170125.45
PSMD9_HUMAN;PSMD9;83384.3;80681.17;83935.89;80858.79;93639.65;74606.69;95790.29;61978.086
ATOX1_HUMAN;ATOX1;141446.64;131421.2;182601.06;186396.22;194569.05;203598.62;208257.97;197954.77
PGRC1_HUMAN;PGRMC1;59443.973;80054.83;81313.1;81272.39;70706.23;106172.02;107419.016;101668.484
SPT5H_HUMAN;SUPT5H;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DFFA_HUMAN;DFFA;46184.87;52739.477;56756.105;42368.113;38878.613;43929.992;36005.496;33700.332
HIP1_HUMAN;HIP1;0.0;0.0;0.0;0.0;26420.197;0.0;0.0;29668.61
CLIC1_HUMAN;CLIC1;585317.0;924548.6;762226.44;502595.62;325019.72;385901.12;333528.1;352273.56
TR11B_HUMAN;TNFRSF11B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3F_HUMAN;EIF3F;59764.473;67672.48;58428.125;66816.3;60836.383;49667.746;24897.545;63185.773
ODPX_HUMAN;PDHX;46316.363;0.0;0.0;44178.59;41932.38;69429.28;0.0;73493.3
MATN2_HUMAN;MATN2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
QSOX1_HUMAN;QSOX1;0.0;39268.832;40333.516;0.0;0.0;29680.416;0.0;38868.656
ACATN_HUMAN;SLC33A1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
WASL_HUMAN;WASL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IPO5_HUMAN;IPO5;228997.64;242220.1;240033.34;210465.84;184681.81;187781.23;193086.11;187330.36
SAP18_HUMAN;SAP18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EMAL1_HUMAN;EML1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IF2B3_HUMAN;IGF2BP3;130859.52;115272.35;113205.27;102246.79;139222.94;132547.02;128771.56;71057.14
DNM1L_HUMAN;DNM1L;84939.29;78699.08;86835.64;103818.8;132083.97;108558.375;98212.46;91098.79
RTCA_HUMAN;RTCA;55321.562;42740.11;47792.7;63161.57;58857.727;70087.29;45195.863;78435.46
P3C2A_HUMAN;PIK3C2A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GOLI4_HUMAN;GOLIM4;209796.08;194148.9;170441.78;193510.75;169843.25;119147.38;146970.14;183093.89
MANBA_HUMAN;MANBA;0.0;0.0;0.0;39605.51;0.0;21788.021;0.0;0.0
EXOC5_HUMAN;EXOC5;41747.91;39176.438;35075.43;49634.78;55356.41;48595.86;36616.78;49580.24
HMGN4_HUMAN;HMGN4;0.0;0.0;0.0;11906.214;0.0;0.0;0.0;0.0
NDUA4_HUMAN;NDUFA4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSDE_HUMAN;PSMD14;177544.27;133822.14;140797.34;212870.89;189168.78;171139.86;156362.08;225609.19
BIN1_HUMAN;BIN1;0.0;0.0;0.0;25891.627;26367.393;28119.945;0.0;23969.275
IMA4_HUMAN;KPNA3;22437.293;33814.77;33828.594;28658.164;25701.45;23403.223;0.0;33914.547
STK25_HUMAN;STK25;0.0;0.0;0.0;29655.703;30730.19;28342.844;21470.193;0.0
VMA5A_HUMAN;VWA5A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PESC_HUMAN;PES1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SDCB1_HUMAN;SDCBP;158806.92;129923.49;151516.16;157032.64;128491.65;199622.05;129899.164;135492.25
MPP10_HUMAN;MPHOSPH10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NOP56_HUMAN;NOP56;57096.93;56942.797;49061.082;52566.58;56192.824;31070.588;0.0;59013.582
DDX3X_HUMAN;DDX3X;159318.5;225361.22;180884.33;164967.16;164218.03;161008.95;148892.52;132205.66
RNT2_HUMAN;RNASET2;24068.438;0.0;0.0;24459.162;31427.996;35573.46;22969.566;45325.285
CCN1_HUMAN;CCN1;43267.586;56618.83;45593.445;49495.5;36292.33;29898.19;0.0;0.0
PIR_HUMAN;PIR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TRI38_HUMAN;TRIM38;0.0;0.0;0.0;0.0;25657.678;0.0;0.0;20940.564
PPP6_HUMAN;PPP6C;38895.188;40415.93;33368.68;43513.2;41969.117;33630.223;35746.875;57981.24
EST2_HUMAN;CES2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MA2B1_HUMAN;MAN2B1;100147.96;61854.992;64683.004;80953.08;78233.98;79727.445;66709.75;78470.984
UBE2C_HUMAN;UBE2C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDXK_HUMAN;PDXK;209295.27;176822.64;219022.52;245274.36;271723.22;314160.78;283713.88;232149.08
SCD_HUMAN;SCD;0.0;0.0;0.0;0.0;0.0;37637.25;0.0;0.0
PLPP1_HUMAN;PLPP1;0.0;0.0;0.0;0.0;131921.47;97979.03;0.0;47168.395
PLPP3_HUMAN;PLPP3;0.0;0.0;0.0;0.0;45412.28;52207.8;0.0;0.0
ISLR_HUMAN;ISLR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CDKA1_HUMAN;CDK2AP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DHSD_HUMAN;SDHD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TXND9_HUMAN;TXNDC9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DPYL4_HUMAN;DPYSL4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TRAD1_HUMAN;TRAFD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
COX7R_HUMAN;COX7A2L;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSPB6_HUMAN;HSPB6;478682.66;220306.52;484944.8;427298.28;861827.3;494657.97;384362.88;502022.28
ACPM_HUMAN;NDUFAB1;0.0;0.0;0.0;58198.727;57893.62;91627.77;95630.445;104906.4
UBFD1_HUMAN;UBFD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C56D2_HUMAN;CYB561D2;0.0;0.0;0.0;0.0;20561.953;0.0;0.0;0.0
DC1I1_HUMAN;DYNC1I1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
COPE_HUMAN;COPE;106676.02;136900.53;129783.98;145201.1;146436.58;127298.19;136147.53;145432.39
BORG1_HUMAN;CDC42EP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP3D1_HUMAN;AP3D1;59506.05;54726.227;51752.082;76112.92;77444.414;44688.69;0.0;37470.793
CCS_HUMAN;CCS;34816.926;27080.99;33220.957;29626.19;31755.521;34578.273;29558.443;0.0
DVL2_HUMAN;DVL2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GOSR2_HUMAN;GOSR2;47331.754;0.0;38224.145;58767.02;55657.99;54805.32;42113.66;34088.312
TOR1A_HUMAN;TOR1A;0.0;0.0;50129.91;49876.37;52370.758;45100.555;0.0;71986.79
TOR1B_HUMAN;TOR1B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24462.777
ADA10_HUMAN;ADAM10;38418.906;30870.812;36068.074;38822.49;29851.465;46403.754;27525.99;29920.574
EI24_HUMAN;EI24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
P5I11_HUMAN;TP53I11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PTGES_HUMAN;PTGES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ITBP1_HUMAN;ITGB1BP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
APAF_HUMAN;APAF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RIOK3_HUMAN;RIOK3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IMPA2_HUMAN;IMPA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40950.07
ACOT8_HUMAN;ACOT8;0.0;0.0;0.0;24860.809;27851.469;34871.258;46783.848;40541.664
CDIPT_HUMAN;CDIPT;0.0;0.0;0.0;0.0;26580.4;36044.26;68155.54;38454.156
PDCD5_HUMAN;PDCD5;191281.1;236105.48;217202.47;212109.45;172515.02;227631.31;200303.31;186801.42
ANM5_HUMAN;PRMT5;0.0;0.0;0.0;23538.877;21522.621;21061.252;21321.742;25253.67
NHRF1_HUMAN;SLC9A3R1;48617.973;22293.91;38181.617;35308.715;54960.676;0.0;30244.918;0.0
H17B6_HUMAN;HSD17B6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TR10B_HUMAN;TNFRSF10B;27166.16;21764.76;22688.912;35276.223;0.0;32950.59;0.0;0.0
TPP1_HUMAN;TPP1;69922.06;45610.434;64781.41;67183.59;105102.75;82128.03;94722.87;95556.22
TCRG1_HUMAN;TCERG1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NDC80_HUMAN;NDC80;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NRP1_HUMAN;NRP1;50973.617;64968.613;50877.52;37714.434;38119.605;44996.63;42669.59;38221.65
TNPO2_HUMAN;TNPO2;0.0;0.0;0.0;14614.214;0.0;0.0;0.0;0.0
RPC1_HUMAN;POLR3A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RASM_HUMAN;MRAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TSN4_HUMAN;TSPAN4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSA7_HUMAN;PSMA7;106680.13;109754.66;107013.66;99113.94;105297.36;123653.83;100143.89;103738.14
SCAM3_HUMAN;SCAMP3;43335.93;59364.387;50144.047;48882.902;30713.143;0.0;34597.48;0.0
PAHX_HUMAN;PHYH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OPLA_HUMAN;OPLAH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IFIT3_HUMAN;IFIT3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MGST3_HUMAN;MGST3;140998.6;61681.426;89032.11;73851.57;108871.93;131262.22;153790.94;204392.92
GEMI2_HUMAN;GEMIN2;0.0;0.0;0.0;0.0;35554.23;0.0;0.0;0.0
TX1B3_HUMAN;TAX1BP3;55746.688;0.0;0.0;47870.477;34166.105;0.0;58108.355;40522.324
GIPC1_HUMAN;GIPC1;0.0;37351.24;0.0;0.0;40735.37;0.0;0.0;35660.586
IKKB_HUMAN;IKBKB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TIM23_HUMAN;TIMM23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HAT1_HUMAN;HAT1;0.0;32883.105;0.0;0.0;0.0;0.0;0.0;0.0
UB2L6_HUMAN;UBE2L6;0.0;0.0;0.0;0.0;19077.443;0.0;0.0;21447.803
CSKP_HUMAN;CASK;33278.188;0.0;0.0;0.0;36369.55;0.0;32400.598;36233.363
QCR8_HUMAN;UQCRQ;43795.06;0.0;0.0;53222.594;56690.688;0.0;0.0;37704.324
ML12B_HUMAN;MYL12B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
QCR10_HUMAN;UQCR11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP26C_HUMAN;VPS26C;35248.85;29796.475;31697.535;0.0;29410.342;24581.426;25776.424;0.0
MYPT1_HUMAN;PPP1R12A;70013.3;67547.6;70486.79;67577.25;68970.695;72290.414;72048.086;59930.816
GAK_HUMAN;GAK;0.0;0.0;0.0;16471.639;0.0;25656.7;0.0;0.0
HNRDL_HUMAN;HNRNPDL;147330.14;129580.625;129894.98;132326.8;115124.26;83603.4;129498.77;97592.07
XPO1_HUMAN;XPO1;106160.4;85918.74;97516.33;88617.09;97217.46;82795.79;90187.76;96379.48
ARHGA_HUMAN;ARHGEF10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SPTN2_HUMAN;SPTBN2;81158.29;71919.21;73668.9;74401.68;93144.336;69176.46;67858.99;98413.625
SC16A_HUMAN;SEC16A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33104.086
PLXB2_HUMAN;PLXNB2;99098.51;65357.008;82846.664;93929.33;64509.562;102317.5;92455.48;82967.72
KHNYN_HUMAN;KHNYN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TCPR2_HUMAN;TECPR2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SR140_HUMAN;U2SURP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SYNJ2_HUMAN;SYNJ2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SYNEM_HUMAN;SYNM;0.0;0.0;98915.22;0.0;113716.83;125753.97;77423.59;103576.24
KIF3B_HUMAN;KIF3B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PUR4_HUMAN;PFAS;38324.426;37502.51;36214.242;32153.979;31328.016;0.0;0.0;34134.688
DCLK1_HUMAN;DCLK1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANR28_HUMAN;ANKRD28;0.0;15644.473;0.0;0.0;0.0;0.0;0.0;0.0
ARHGB_HUMAN;ARHGEF11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LSM1_HUMAN;LSM1;43824.516;31270.207;40147.656;39761.57;34558.152;39688.473;36811.82;26152.307
NPC1_HUMAN;NPC1;53396.445;61231.48;49894.227;55030.69;61800.98;131315.62;88390.375;115929.88
DEGS1_HUMAN;DEGS1;29400.314;39404.77;33889.81;57657.246;30449.885;57669.25;33973.277;61230.793
SCAM1_HUMAN;SCAMP1;38872.72;0.0;23133.988;0.0;29356.172;0.0;0.0;0.0
SCAM2_HUMAN;SCAMP2;0.0;51482.71;0.0;0.0;0.0;0.0;0.0;0.0
ARC1B_HUMAN;ARPC1B;373591.3;379996.78;428174.47;387687.1;331040.56;317957.88;326887.6;349066.47
ARPC2_HUMAN;ARPC2;275051.47;256821.64;285750.78;287968.78;276172.6;281647.28;273425.66;305263.75
ARPC3_HUMAN;ARPC3;265954.0;234261.02;253909.05;246382.36;224979.17;196895.56;221942.9;216540.89
BET1_HUMAN;BET1;0.0;29693.848;0.0;0.0;0.0;0.0;0.0;0.0
RPAC1_HUMAN;POLR1C;50391.977;49756.074;52514.98;0.0;39878.23;0.0;50271.63;0.0
PLS1_HUMAN;PLSCR1;0.0;0.0;0.0;0.0;0.0;0.0;28862.486;0.0
PGRC2_HUMAN;PGRMC2;97915.445;94060.086;85034.555;74205.195;87425.94;96414.81;149963.22;72383.555
PFD6_HUMAN;PFDN6;37829.906;53131.418;48801.965;48539.844;40773.746;50014.973;39667.516;36070.367
GNPAT_HUMAN;GNPAT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13614.871
ZN185_HUMAN;ZNF185;32022.604;33464.355;24975.576;0.0;0.0;0.0;0.0;0.0
RT12_HUMAN;MRPS12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OBRG_HUMAN;LEPROT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CLIC2_HUMAN;CLIC2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ACOX3_HUMAN;ACOX3;22717.938;44287.934;26647.195;40684.574;34158.418;51212.65;23887.918;54393.883
RER1_HUMAN;RER1;0.0;0.0;73357.305;77423.875;51260.1;88652.555;137627.95;134133.34
SURF4_HUMAN;SURF4;132061.69;77000.04;96891.92;171073.25;189770.78;246859.31;242412.77;209869.03
SPTC1_HUMAN;SPTLC1;44138.715;47629.367;46374.43;71794.89;38946.2;27282.34;0.0;63172.953
SPTC2_HUMAN;SPTLC2;16704.33;33590.26;16200.781;29206.16;25114.836;0.0;0.0;42092.934
OGT1_HUMAN;OGT;0.0;0.0;0.0;19857.861;0.0;0.0;0.0;0.0
LX15B_HUMAN;ALOX15B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PMM2_HUMAN;PMM2;93612.8;86922.8;95403.34;107638.04;124431.54;103972.234;109485.5;82842.05
TRI18_HUMAN;MID1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMGB3_HUMAN;HMGB3;0.0;63731.11;0.0;0.0;0.0;0.0;0.0;66684.79
PPM1G_HUMAN;PPM1G;46048.83;49922.78;42465.1;42014.36;38543.887;0.0;35983.03;0.0
SHIP2_HUMAN;INPPL1;0.0;0.0;0.0;0.0;0.0;0.0;37743.227;21496.879
EIF3D_HUMAN;EIF3D;87508.125;90015.016;93347.67;103414.13;81090.055;62161.723;62816.12;71320.35
EIF3H_HUMAN;EIF3H;80312.41;93600.73;107483.13;133617.31;96112.83;56896.18;55080.133;90677.75
BCAT2_HUMAN;BCAT2;0.0;26812.324;0.0;0.0;16555.732;35048.0;0.0;35645.156
IPO8_HUMAN;IPO8;0.0;0.0;0.0;0.0;38455.508;0.0;0.0;0.0
STX7_HUMAN;STX7;60146.402;71070.18;66085.39;43751.945;48247.594;50821.86;86409.914;0.0
MOT7_HUMAN;SLC16A6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MOT4_HUMAN;SLC16A3;0.0;0.0;0.0;31681.957;0.0;38905.785;34248.58;48950.047
COPT1_HUMAN;SLC31A1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MRP3_HUMAN;ABCC3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MRP4_HUMAN;ABCC4;0.0;0.0;0.0;30955.29;38429.215;22886.055;0.0;68948.555
TLR3_HUMAN;TLR3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
P4HA2_HUMAN;P4HA2;287195.66;220265.98;270659.12;232600.72;248303.8;403324.6;331133.94;286926.44
CAN5_HUMAN;CAPN5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
YKT6_HUMAN;YKT6;95960.414;64651.31;77684.18;126287.914;102446.836;110275.87;76647.0;113278.375
ARPC5_HUMAN;ARPC5;141850.38;111339.07;119417.66;138074.22;130297.98;99070.97;114263.17;116812.8
RPB4_HUMAN;POLR2D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DDX3Y_HUMAN;DDX3Y;33539.812;0.0;32870.63;43038.62;65249.48;0.0;52872.242;37163.316
PDPK1_HUMAN;PDPK1;0.0;0.0;0.0;0.0;11035.999;0.0;0.0;0.0
TPSN_HUMAN;TAPBP;0.0;28574.332;0.0;50196.836;43602.566;0.0;0.0;41079.285
DHX15_HUMAN;DHX15;70543.79;64877.223;60525.7;63651.99;72025.484;53421.816;62727.652;67690.27
MCES_HUMAN;RNMT;29063.668;33668.61;34728.836;0.0;0.0;0.0;0.0;0.0
ZZEF1_HUMAN;ZZEF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ASAP2_HUMAN;ASAP2;0.0;0.0;0.0;0.0;0.0;31866.887;0.0;0.0
FLRT2_HUMAN;FLRT2;59979.31;0.0;0.0;0.0;52606.082;58400.777;0.0;40560.566
TTI1_HUMAN;TTI1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLXB1_HUMAN;PLXNB1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SI1L1_HUMAN;SIPA1L1;0.0;0.0;0.0;0.0;0.0;0.0;69478.8;77731.97
PRP4_HUMAN;PRPF4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19574.37
SERA_HUMAN;PHGDH;175007.81;121337.88;97326.53;74558.09;194224.75;125940.81;84688.24;124025.98
NDUS4_HUMAN;NDUFS4;0.0;0.0;0.0;40766.188;48027.047;28687.85;56847.676;28969.855
DC1L2_HUMAN;DYNC1LI2;49632.32;45369.004;52735.383;55985.29;65777.4;59401.363;54638.246;58877.523
PSMD3_HUMAN;PSMD3;109886.01;119845.91;110460.45;124616.32;122130.26;118029.08;110282.96;121278.016
PAPS1_HUMAN;PAPSS1;57049.305;38153.152;44502.277;67011.125;65345.95;35135.24;29459.379;58223.52
ZW10_HUMAN;ZW10;27967.826;37289.594;36666.848;34179.066;31699.406;28835.547;31947.754;33092.977
SNUT1_HUMAN;SART1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SPIT2_HUMAN;SPINT2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GPAA1_HUMAN;GPAA1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DAPK3_HUMAN;DAPK3;20253.012;25504.934;0.0;20914.936;0.0;0.0;0.0;0.0
TGFI1_HUMAN;TGFB1I1;104900.27;60936.793;68958.79;67373.625;87053.93;68916.516;82322.164;77970.69
AP5Z1_HUMAN;AP5Z1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CTIF_HUMAN;CTIF;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VIP2_HUMAN;PPIP5K2;0.0;0.0;0.0;19829.104;20423.809;0.0;0.0;0.0
M3K7_HUMAN;MAP3K7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MCA3_HUMAN;EEF1E1;49949.49;36511.23;48800.93;57080.93;58153.52;52601.613;45081.062;40592.4
RIPK2_HUMAN;RIPK2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19592.926
HNRPR_HUMAN;HNRNPR;146957.86;120026.74;112949.38;109530.82;113739.945;94902.8;98589.42;96386.52
PRPF3_HUMAN;PRPF3;122118.32;119776.45;132761.94;121428.4;99919.766;78377.98;72079.52;0.0
TXNL1_HUMAN;TXNL1;41027.027;53429.996;52690.676;49221.6;38908.887;37810.293;44861.26;44174.93
