Protein.ID;Gene;GF_c_1 MaxLFQ Intensity;GF_c_27 MaxLFQ Intensity;GF_c_31 MaxLFQ Intensity;GF_d_1 MaxLFQ Intensity;GF_d_27 MaxLFQ Intensity;GF_d_31 MaxLFQ Intensity
PGRC1_HUMAN;PGRMC1;243824.88;96637.56;92898.0;153762.53;77614.78;61221.82
SPT5H_HUMAN;SUPT5H;0.0;29446.898;0.0;0.0;0.0;0.0
DFFA_HUMAN;DFFA;48292.83;43654.055;56621.855;24921.205;56991.88;35496.375
HIP1_HUMAN;HIP1;0.0;35650.59;0.0;66682.555;54071.84;63996.73
CLIC1_HUMAN;CLIC1;522148.78;473970.7;527789.75;414091.0;470288.12;607088.7
TR11B_HUMAN;TNFRSF11B;0.0;70907.36;0.0;76218.42;0.0;0.0
EIF3F_HUMAN;EIF3F;59560.86;87057.71;61873.824;69680.61;76221.35;49602.566
ODPX_HUMAN;PDHX;49532.203;33012.4;0.0;0.0;45783.414;0.0
MATN2_HUMAN;MATN2;0.0;0.0;0.0;0.0;0.0;0.0
QSOX1_HUMAN;QSOX1;0.0;31737.562;0.0;0.0;0.0;0.0
ACATN_HUMAN;SLC33A1;0.0;0.0;0.0;0.0;0.0;0.0
WASL_HUMAN;WASL;0.0;19678.309;0.0;0.0;0.0;16746.47
IPO5_HUMAN;IPO5;141939.86;217192.03;241177.5;242191.77;161506.6;241957.75
SAP18_HUMAN;SAP18;0.0;22673.838;0.0;0.0;12024.746;0.0
EMAL1_HUMAN;EML1;47645.05;0.0;0.0;45238.918;0.0;0.0
IF2B3_HUMAN;IGF2BP3;103574.695;80342.05;0.0;81903.38;0.0;0.0
DNM1L_HUMAN;DNM1L;87421.93;94169.51;105993.35;99439.836;85074.67;139016.62
RTCA_HUMAN;RTCA;45383.547;53056.254;0.0;60933.72;64677.535;64902.066
P3C2A_HUMAN;PIK3C2A;0.0;0.0;0.0;0.0;0.0;0.0
GOLI4_HUMAN;GOLIM4;133162.11;203702.88;210106.05;139809.7;214384.22;122248.24
MANBA_HUMAN;MANBA;0.0;0.0;0.0;0.0;0.0;0.0
EXOC5_HUMAN;EXOC5;59357.746;55931.176;53234.992;71722.41;79211.086;63594.348
HMGN4_HUMAN;HMGN4;27663.97;12626.216;21161.596;0.0;0.0;0.0
NDUA4_HUMAN;NDUFA4;0.0;0.0;0.0;0.0;0.0;0.0
PSDE_HUMAN;PSMD14;111212.38;210438.17;121183.73;198809.64;141301.22;128508.86
BIN1_HUMAN;BIN1;38491.934;30552.896;42978.324;0.0;34063.12;0.0
IMA4_HUMAN;KPNA3;31969.217;35438.637;0.0;34211.527;45837.79;31606.717
STK25_HUMAN;STK25;0.0;27964.402;0.0;0.0;0.0;36740.566
VMA5A_HUMAN;VWA5A;0.0;21605.07;0.0;0.0;0.0;0.0
PESC_HUMAN;PES1;0.0;0.0;0.0;0.0;0.0;0.0
SDCB1_HUMAN;SDCBP;442808.72;269735.3;220216.8;313187.5;213176.11;153208.61
MPP10_HUMAN;MPHOSPH10;0.0;46816.83;0.0;0.0;0.0;0.0
NOP56_HUMAN;NOP56;55652.04;51780.35;41222.945;46862.96;43125.168;0.0
DDX3X_HUMAN;DDX3X;180931.52;179679.62;200331.45;161303.0;161828.53;165621.61
RNT2_HUMAN;RNASET2;25738.787;15053.095;0.0;0.0;53681.99;0.0
CCN1_HUMAN;CCN1;0.0;29072.688;75820.81;0.0;30503.162;0.0
PIR_HUMAN;PIR;0.0;37491.418;0.0;0.0;0.0;0.0
TRI38_HUMAN;TRIM38;0.0;0.0;0.0;17514.938;0.0;0.0
PPP6_HUMAN;PPP6C;0.0;42405.832;34301.055;44913.59;54858.902;37036.55
EST2_HUMAN;CES2;0.0;0.0;0.0;0.0;0.0;0.0
MA2B1_HUMAN;MAN2B1;95873.59;46397.94;71028.14;67076.766;91910.81;89677.74
UBE2C_HUMAN;UBE2C;0.0;0.0;0.0;0.0;0.0;0.0
PDXK_HUMAN;PDXK;245395.75;196011.95;177803.31;159768.64;308756.7;194140.34
SCD_HUMAN;SCD;0.0;32079.068;0.0;0.0;0.0;0.0
PLPP1_HUMAN;PLPP1;158571.98;0.0;0.0;154698.4;0.0;151802.8
PLPP3_HUMAN;PLPP3;89229.305;86047.91;89884.984;60248.53;42058.625;123481.195
ISLR_HUMAN;ISLR;0.0;0.0;0.0;0.0;0.0;0.0
CDKA1_HUMAN;CDK2AP1;0.0;0.0;0.0;0.0;0.0;0.0
DHSD_HUMAN;SDHD;0.0;0.0;0.0;0.0;0.0;0.0
TXND9_HUMAN;TXNDC9;0.0;28220.78;0.0;0.0;0.0;0.0
DPYL4_HUMAN;DPYSL4;0.0;0.0;0.0;0.0;0.0;0.0
TRAD1_HUMAN;TRAFD1;0.0;0.0;0.0;0.0;0.0;0.0
COX7R_HUMAN;COX7A2L;0.0;0.0;0.0;0.0;0.0;0.0
HSPB6_HUMAN;HSPB6;44802.43;34776.984;633683.25;0.0;0.0;334936.7
ACPM_HUMAN;NDUFAB1;0.0;70296.81;0.0;68806.26;63140.13;55216.51
UBFD1_HUMAN;UBFD1;0.0;0.0;0.0;0.0;0.0;0.0
C56D2_HUMAN;CYB561D2;0.0;18287.967;0.0;30416.904;0.0;0.0
DC1I1_HUMAN;DYNC1I1;0.0;0.0;0.0;0.0;0.0;0.0
COPE_HUMAN;COPE;77242.73;114209.305;96063.875;112468.86;108549.11;86128.04
BORG1_HUMAN;CDC42EP2;0.0;0.0;0.0;0.0;0.0;0.0
AP3D1_HUMAN;AP3D1;57531.21;70269.18;60233.01;51658.76;70247.914;0.0
CCS_HUMAN;CCS;35886.07;21195.746;0.0;0.0;0.0;0.0
DVL2_HUMAN;DVL2;0.0;0.0;0.0;0.0;0.0;0.0
GOSR2_HUMAN;GOSR2;0.0;34711.195;22222.125;34553.14;31802.45;0.0
TOR1A_HUMAN;TOR1A;37080.367;57365.86;36774.55;60258.996;107404.31;51640.137
TOR1B_HUMAN;TOR1B;0.0;0.0;0.0;0.0;0.0;0.0
ADA10_HUMAN;ADAM10;27258.781;26987.795;31162.557;30453.162;0.0;33990.594
EI24_HUMAN;EI24;0.0;0.0;0.0;0.0;0.0;0.0
P5I11_HUMAN;TP53I11;45418.203;0.0;0.0;45879.98;0.0;31886.97
PTGES_HUMAN;PTGES;0.0;17201.727;0.0;24394.158;0.0;46874.246
ITBP1_HUMAN;ITGB1BP1;0.0;0.0;0.0;0.0;0.0;0.0
APAF_HUMAN;APAF1;0.0;0.0;0.0;0.0;0.0;0.0
RIOK3_HUMAN;RIOK3;0.0;0.0;0.0;0.0;0.0;0.0
IMPA2_HUMAN;IMPA2;0.0;0.0;0.0;0.0;0.0;0.0
ACOT8_HUMAN;ACOT8;31665.838;0.0;0.0;0.0;0.0;0.0
CDIPT_HUMAN;CDIPT;0.0;0.0;0.0;44033.72;0.0;37824.477
PDCD5_HUMAN;PDCD5;172737.73;182557.84;242428.77;113876.82;219178.08;202254.8
ANM5_HUMAN;PRMT5;0.0;21690.047;0.0;25671.598;0.0;0.0
NHRF1_HUMAN;SLC9A3R1;29227.709;28570.082;0.0;0.0;0.0;0.0
H17B6_HUMAN;HSD17B6;0.0;0.0;0.0;0.0;0.0;0.0
TR10B_HUMAN;TNFRSF10B;0.0;0.0;0.0;0.0;0.0;0.0
TPP1_HUMAN;TPP1;141442.8;115983.28;82170.984;88734.695;181274.03;87170.63
TCRG1_HUMAN;TCERG1;0.0;22968.441;0.0;0.0;0.0;0.0
NDC80_HUMAN;NDC80;0.0;0.0;0.0;0.0;0.0;0.0
NRP1_HUMAN;NRP1;82213.484;53868.08;79832.086;74565.48;39593.605;54219.152
TNPO2_HUMAN;TNPO2;0.0;26797.348;0.0;0.0;0.0;0.0
RPC1_HUMAN;POLR3A;0.0;0.0;0.0;0.0;0.0;0.0
RASM_HUMAN;MRAS;0.0;0.0;0.0;0.0;0.0;0.0
TSN4_HUMAN;TSPAN4;0.0;0.0;0.0;0.0;0.0;0.0
PSA7_HUMAN;PSMA7;92826.28;91277.83;83960.62;67078.08;101323.92;85882.83
SCAM3_HUMAN;SCAMP3;44934.723;31590.8;0.0;54743.1;0.0;0.0
PAHX_HUMAN;PHYH;0.0;0.0;0.0;0.0;0.0;0.0
OPLA_HUMAN;OPLAH;48607.465;23299.445;0.0;28341.53;0.0;0.0
IFIT3_HUMAN;IFIT3;0.0;0.0;0.0;0.0;0.0;29723.588
MGST3_HUMAN;MGST3;157425.92;126201.664;65573.04;220631.06;120078.52;216795.38
GEMI2_HUMAN;GEMIN2;0.0;0.0;0.0;0.0;32897.367;0.0
TX1B3_HUMAN;TAX1BP3;0.0;25790.793;0.0;28077.383;0.0;0.0
GIPC1_HUMAN;GIPC1;0.0;31250.314;50632.668;0.0;56373.387;34922.355
IKKB_HUMAN;IKBKB;0.0;0.0;0.0;17179.324;0.0;0.0
TIM23_HUMAN;TIMM23;0.0;0.0;0.0;0.0;0.0;0.0
HAT1_HUMAN;HAT1;0.0;0.0;36084.99;0.0;0.0;0.0
UB2L6_HUMAN;UBE2L6;0.0;24603.275;27173.287;13408.343;30915.963;30690.26
CSKP_HUMAN;CASK;53231.945;21046.504;0.0;21724.297;0.0;0.0
QCR8_HUMAN;UQCRQ;77788.305;62707.23;0.0;72961.88;0.0;0.0
ML12B_HUMAN;MYL12B;0.0;0.0;0.0;0.0;0.0;0.0
QCR10_HUMAN;UQCR11;0.0;0.0;0.0;0.0;0.0;0.0
VP26C_HUMAN;VPS26C;46112.03;27427.275;0.0;29237.756;0.0;0.0
MYPT1_HUMAN;PPP1R12A;75508.1;68729.7;91928.54;57550.723;105597.72;84534.89
GAK_HUMAN;GAK;0.0;20055.434;17903.246;0.0;0.0;0.0
HNRDL_HUMAN;HNRNPDL;118192.97;170984.17;213862.22;85343.35;117014.65;127886.06
XPO1_HUMAN;XPO1;94765.47;99752.36;82057.45;133203.52;85277.336;94126.77
ARHGA_HUMAN;ARHGEF10;0.0;15237.153;0.0;0.0;0.0;0.0
SPTN2_HUMAN;SPTBN2;84817.68;61241.887;81234.375;64200.64;52702.184;90196.59
SC16A_HUMAN;SEC16A;0.0;20402.83;0.0;0.0;0.0;0.0
PLXB2_HUMAN;PLXNB2;99480.98;103741.55;77965.83;88719.85;92774.41;80450.72
KHNYN_HUMAN;KHNYN;0.0;0.0;0.0;0.0;0.0;0.0
TCPR2_HUMAN;TECPR2;0.0;0.0;0.0;0.0;0.0;0.0
SR140_HUMAN;U2SURP;0.0;21239.92;0.0;0.0;0.0;0.0
SYNJ2_HUMAN;SYNJ2;0.0;0.0;0.0;0.0;0.0;0.0
SYNEM_HUMAN;SYNM;121089.83;0.0;0.0;0.0;0.0;0.0
KIF3B_HUMAN;KIF3B;0.0;0.0;0.0;0.0;0.0;0.0
PUR4_HUMAN;PFAS;0.0;49521.1;31066.84;37813.21;38539.395;30034.031
DCLK1_HUMAN;DCLK1;0.0;10685.179;0.0;0.0;0.0;0.0
ANR28_HUMAN;ANKRD28;25477.463;30608.324;0.0;26835.773;0.0;0.0
ARHGB_HUMAN;ARHGEF11;0.0;0.0;0.0;0.0;0.0;0.0
LSM1_HUMAN;LSM1;0.0;26799.955;39290.36;19883.549;0.0;0.0
NPC1_HUMAN;NPC1;126602.13;115351.15;38797.09;164511.06;83272.234;54961.684
DEGS1_HUMAN;DEGS1;0.0;28578.777;37267.027;0.0;0.0;37437.92
SCAM1_HUMAN;SCAMP1;0.0;31810.883;0.0;33826.344;0.0;0.0
SCAM2_HUMAN;SCAMP2;0.0;0.0;0.0;0.0;0.0;0.0
ARC1B_HUMAN;ARPC1B;340166.25;333855.75;371456.0;358573.1;418763.12;361431.12
ARPC2_HUMAN;ARPC2;252536.75;273806.88;251505.98;291883.84;315857.72;340548.9
ARPC3_HUMAN;ARPC3;203216.36;210801.89;240332.31;204982.4;197276.1;305598.12
BET1_HUMAN;BET1;0.0;0.0;0.0;0.0;0.0;0.0
RPAC1_HUMAN;POLR1C;0.0;26488.264;0.0;0.0;0.0;0.0
PLS1_HUMAN;PLSCR1;29639.7;0.0;0.0;0.0;0.0;0.0
PGRC2_HUMAN;PGRMC2;103059.35;78654.766;79940.836;81123.56;0.0;89836.78
PFD6_HUMAN;PFDN6;41498.58;35060.406;58500.87;38278.066;47341.895;28638.574
GNPAT_HUMAN;GNPAT;0.0;0.0;0.0;17318.46;0.0;0.0
ZN185_HUMAN;ZNF185;0.0;0.0;19419.213;0.0;0.0;19790.084
RT12_HUMAN;MRPS12;0.0;0.0;0.0;0.0;0.0;0.0
OBRG_HUMAN;LEPROT;0.0;0.0;0.0;0.0;0.0;0.0
CLIC2_HUMAN;CLIC2;0.0;0.0;0.0;0.0;0.0;0.0
ACOX3_HUMAN;ACOX3;39096.6;34769.5;0.0;52527.633;0.0;43427.344
RER1_HUMAN;RER1;36540.363;86985.52;0.0;98373.67;60985.305;97880.19
SURF4_HUMAN;SURF4;122744.82;113375.84;93430.55;232938.36;50065.438;135018.05
SPTC1_HUMAN;SPTLC1;46897.05;50382.84;51293.34;30880.105;0.0;0.0
SPTC2_HUMAN;SPTLC2;0.0;30668.068;24037.205;0.0;0.0;0.0
OGT1_HUMAN;OGT;20425.26;21421.389;32335.041;24819.492;0.0;0.0
LX15B_HUMAN;ALOX15B;0.0;0.0;0.0;0.0;0.0;0.0
PMM2_HUMAN;PMM2;90042.914;105834.734;104570.12;121801.31;88511.56;100314.43
TRI18_HUMAN;MID1;0.0;0.0;0.0;0.0;0.0;0.0
HMGB3_HUMAN;HMGB3;65347.836;0.0;50772.715;0.0;0.0;0.0
PPM1G_HUMAN;PPM1G;0.0;40944.527;51550.727;0.0;0.0;0.0
SHIP2_HUMAN;INPPL1;0.0;29703.828;0.0;25795.77;0.0;29338.848
EIF3D_HUMAN;EIF3D;78188.27;96190.22;91751.55;56034.72;65359.977;76717.71
EIF3H_HUMAN;EIF3H;73975.766;135325.86;116509.17;85916.836;111116.12;83698.05
BCAT2_HUMAN;BCAT2;24789.207;24522.41;25837.61;50638.094;0.0;64619.613
IPO8_HUMAN;IPO8;0.0;32076.758;35604.71;0.0;0.0;0.0
STX7_HUMAN;STX7;85268.11;41734.3;0.0;45124.855;55978.754;43351.79
MOT7_HUMAN;SLC16A6;0.0;0.0;0.0;0.0;0.0;0.0
MOT4_HUMAN;SLC16A3;0.0;0.0;0.0;44251.06;0.0;24591.037
COPT1_HUMAN;SLC31A1;0.0;0.0;0.0;0.0;0.0;0.0
MRP3_HUMAN;ABCC3;0.0;0.0;0.0;0.0;0.0;0.0
MRP4_HUMAN;ABCC4;60835.207;18096.387;0.0;54901.875;32784.85;26214.617
TLR3_HUMAN;TLR3;0.0;122906.33;0.0;0.0;0.0;0.0
P4HA2_HUMAN;P4HA2;96455.44;153256.95;166999.78;37176.83;155956.28;105651.43
CAN5_HUMAN;CAPN5;0.0;0.0;0.0;0.0;0.0;0.0
YKT6_HUMAN;YKT6;76168.85;73181.09;84333.195;128107.805;95456.95;79620.0
ARPC5_HUMAN;ARPC5;72752.24;128049.34;93554.35;91620.85;91489.49;68848.98
RPB4_HUMAN;POLR2D;0.0;0.0;0.0;0.0;0.0;0.0
DDX3Y_HUMAN;DDX3Y;0.0;0.0;0.0;0.0;0.0;0.0
PDPK1_HUMAN;PDPK1;0.0;14227.619;0.0;0.0;0.0;17367.799
TPSN_HUMAN;TAPBP;45646.0;40852.664;31095.098;45742.0;31273.71;43854.062
DHX15_HUMAN;DHX15;72494.12;80692.586;76956.87;74473.734;44286.875;82232.64
MCES_HUMAN;RNMT;36353.324;21062.59;0.0;0.0;0.0;0.0
ZZEF1_HUMAN;ZZEF1;0.0;0.0;0.0;0.0;0.0;0.0
ASAP2_HUMAN;ASAP2;0.0;0.0;0.0;39344.383;0.0;30955.672
FLRT2_HUMAN;FLRT2;0.0;0.0;0.0;0.0;0.0;0.0
TTI1_HUMAN;TTI1;0.0;0.0;0.0;0.0;0.0;0.0
PLXB1_HUMAN;PLXNB1;0.0;0.0;0.0;0.0;0.0;0.0
SI1L1_HUMAN;SIPA1L1;0.0;0.0;0.0;0.0;0.0;0.0
PRP4_HUMAN;PRPF4;0.0;23541.223;0.0;0.0;0.0;0.0
SERA_HUMAN;PHGDH;91022.57;152501.2;163854.5;76653.016;120359.51;159542.28
NDUS4_HUMAN;NDUFS4;0.0;52081.504;0.0;0.0;51023.15;0.0
DC1L2_HUMAN;DYNC1LI2;49286.13;54320.832;54153.55;54753.832;66054.59;52245.395
PSMD3_HUMAN;PSMD3;97696.18;103414.09;96124.164;118458.78;64473.758;108121.766
PAPS1_HUMAN;PAPSS1;33773.25;39169.73;52389.055;30751.773;63726.848;50569.98
ZW10_HUMAN;ZW10;32400.822;35234.082;36159.668;38930.395;17960.77;52160.723
SNUT1_HUMAN;SART1;0.0;0.0;80429.47;0.0;0.0;0.0
SPIT2_HUMAN;SPINT2;0.0;0.0;0.0;0.0;0.0;0.0
GPAA1_HUMAN;GPAA1;0.0;0.0;0.0;0.0;0.0;0.0
DAPK3_HUMAN;DAPK3;0.0;0.0;0.0;0.0;0.0;0.0
TGFI1_HUMAN;TGFB1I1;40923.277;61697.84;143294.55;87551.055;70028.39;108668.516
AP5Z1_HUMAN;AP5Z1;0.0;0.0;0.0;0.0;0.0;0.0
CTIF_HUMAN;CTIF;0.0;0.0;0.0;0.0;0.0;0.0
VIP2_HUMAN;PPIP5K2;0.0;23995.668;0.0;21574.63;0.0;15570.607
M3K7_HUMAN;MAP3K7;0.0;0.0;0.0;0.0;0.0;0.0
MCA3_HUMAN;EEF1E1;49849.203;44619.094;68682.37;44273.617;39378.4;54521.58
RIPK2_HUMAN;RIPK2;0.0;0.0;0.0;0.0;0.0;0.0
HNRPR_HUMAN;HNRNPR;136736.39;102756.57;147020.55;80098.33;123935.195;129051.7
PRPF3_HUMAN;PRPF3;0.0;123143.805;160278.38;0.0;0.0;0.0
TXNL1_HUMAN;TXNL1;45501.75;42291.516;54211.277;29635.76;0.0;40722.844
TPD54_HUMAN;TPD52L2;195016.73;200184.53;284464.16;152666.95;333361.62;213844.06
EMC8_HUMAN;EMC8;0.0;0.0;0.0;0.0;0.0;0.0
ERI3_HUMAN;ERI3;0.0;31423.094;0.0;0.0;0.0;0.0
FIBP_HUMAN;FIBP;0.0;0.0;0.0;0.0;0.0;0.0
PPIH_HUMAN;PPIH;0.0;0.0;0.0;0.0;0.0;0.0
HTRA2_HUMAN;HTRA2;240810.5;0.0;0.0;0.0;0.0;0.0
ARK72_HUMAN;AKR7A2;112218.42;79151.11;93136.664;93394.31;76064.57;63278.93
E41L2_HUMAN;EPB41L2;46088.32;45299.926;69216.875;0.0;0.0;48881.387
TGON2_HUMAN;TGOLN2;0.0;0.0;0.0;0.0;0.0;0.0
LTOR5_HUMAN;LAMTOR5;69121.875;53971.64;48158.176;52707.76;49450.723;42575.926
B4GA1_HUMAN;B4GAT1;0.0;0.0;0.0;27238.39;0.0;0.0
AT8B1_HUMAN;ATP8B1;0.0;21368.777;0.0;15923.374;0.0;0.0
CAH12_HUMAN;CA12;0.0;0.0;0.0;0.0;0.0;0.0
DENR_HUMAN;DENR;32211.234;0.0;0.0;0.0;33435.973;0.0
XPOT_HUMAN;XPOT;0.0;33245.31;21669.244;23154.496;0.0;48889.0
DNPH1_HUMAN;DNPH1;51520.434;47761.543;49474.53;45334.152;55980.523;34331.645
TIM44_HUMAN;TIMM44;77647.86;58088.582;69527.66;44963.32;83747.76;76166.51
TPPC3_HUMAN;TRAPPC3;0.0;0.0;0.0;0.0;0.0;0.0
CHM2A_HUMAN;CHMP2A;35246.71;24488.479;0.0;24366.55;50927.625;0.0
TSN6_HUMAN;TSPAN6;0.0;0.0;0.0;23084.799;0.0;0.0
PLRG1_HUMAN;PLRG1;0.0;0.0;21758.842;0.0;0.0;0.0
RGS10_HUMAN;RGS10;0.0;0.0;0.0;0.0;0.0;0.0
ZN207_HUMAN;ZNF207;0.0;0.0;33864.684;0.0;0.0;0.0
NDUB5_HUMAN;NDUFB5;0.0;51928.08;0.0;39080.582;0.0;0.0
NDUB3_HUMAN;NDUFB3;0.0;0.0;0.0;0.0;0.0;0.0
NDUA2_HUMAN;NDUFA2;0.0;0.0;0.0;0.0;0.0;0.0
GET3_HUMAN;GET3;73054.14;95479.81;87391.984;92443.766;59628.312;75396.58
BUB3_HUMAN;BUB3;37142.473;43069.07;52169.52;36084.457;0.0;35974.445
ACTN4_HUMAN;ACTN4;2735344.2;2605710.2;3827088.8;4983506.5;2608324.2;4773394.5
MAAI_HUMAN;GSTZ1;63312.883;66204.45;0.0;54251.453;42921.22;42189.4
TRIA1_HUMAN;TRIAP1;0.0;22140.713;0.0;0.0;0.0;0.0
ERD23_HUMAN;KDELR3;0.0;0.0;0.0;0.0;0.0;0.0
CYH3_HUMAN;CYTH3;0.0;0.0;0.0;0.0;0.0;0.0
AAKB2_HUMAN;PRKAB2;0.0;0.0;0.0;0.0;0.0;0.0
AP1G1_HUMAN;AP1G1;45283.805;48284.223;45332.63;50125.7;45600.19;56043.85
STX6_HUMAN;STX6;0.0;0.0;0.0;0.0;0.0;0.0
SNG1_HUMAN;SYNGR1;0.0;0.0;0.0;0.0;0.0;0.0
SNG2_HUMAN;SYNGR2;0.0;0.0;0.0;0.0;0.0;0.0
SGTA_HUMAN;SGTA;139611.39;152349.12;154266.11;105691.67;174857.25;137323.38
ENSA_HUMAN;ENSA;0.0;0.0;0.0;0.0;0.0;0.0
MCAT_HUMAN;SLC25A20;0.0;0.0;0.0;41020.38;0.0;0.0
SYNC_HUMAN;NARS1;112747.805;139994.73;128099.164;141033.78;125256.58;111900.74
MYO1B_HUMAN;MYO1B;84445.695;115579.2;195924.55;73228.5;72589.94;138861.66
SSNA1_HUMAN;SSNA1;0.0;0.0;0.0;0.0;0.0;0.0
CPSF5_HUMAN;NUDT21;76393.9;68983.26;58859.438;46815.367;47943.105;78896.445
LANC1_HUMAN;LANCL1;52791.742;66644.82;0.0;92449.53;66862.375;65922.3
STRN_HUMAN;STRN;33539.746;44587.527;49821.816;46823.64;41904.758;51980.688
U3IP2_HUMAN;RRP9;0.0;25560.357;0.0;0.0;48718.23;0.0
SCO2_HUMAN;SCO2;0.0;0.0;0.0;94638.92;0.0;0.0
CF410_HUMAN;CFAP410;0.0;0.0;0.0;0.0;0.0;0.0
IDH3B_HUMAN;IDH3B;33143.21;27039.191;33968.266;40514.816;0.0;37670.676
NRDC_HUMAN;NRDC;23983.889;42703.2;29671.656;0.0;26766.86;20801.145
CALU_HUMAN;CALU;529790.8;601535.44;806726.94;436551.84;1095968.4;726502.44
EDIL3_HUMAN;EDIL3;33155.18;60597.953;55603.547;40907.457;67389.8;83547.66
