Protein.ID;Gene;PDLSCs_c_12 MaxLFQ Intensity;PDLSCs_c_16 MaxLFQ Intensity;PDLSCs_c_38 MaxLFQ Intensity;PDLSCs_d_12 MaxLFQ Intensity;PDLSCs_d_16 MaxLFQ Intensity;PDLSCs_d_38 MaxLFQ Intensity
NACAM_HUMAN;NACA;187929.73;238980.69;203726.45;166144.88;250334.2;315725.06
CK098_HUMAN;C11orf98;0.0;0.0;0.0;0.0;0.0;0.0
S35U4_HUMAN;SLC35A4;0.0;0.0;0.0;0.0;0.0;0.0
OVOL3_HUMAN;OVOL3;0.0;0.0;0.0;0.0;0.0;0.0
DNS2A_HUMAN;DNASE2;33716.773;0.0;0.0;0.0;0.0;0.0
ADAS_HUMAN;AGPS;36523.35;38594.93;39805.703;30528.53;35669.688;30834.365
KITM_HUMAN;TK2;0.0;0.0;0.0;0.0;0.0;0.0
DX39A_HUMAN;DDX39A;0.0;45529.164;42692.67;0.0;29920.309;30590.209
PDLI1_HUMAN;PDLIM1;124190.945;155363.0;122570.25;158972.88;84284.3;143541.88
BACH_HUMAN;ACOT7;126697.555;130188.266;130539.46;112402.92;132513.16;133521.7
MYO1C_HUMAN;MYO1C;147244.39;162330.05;146088.17;160085.69;88415.945;84734.35
SNP23_HUMAN;SNAP23;42401.094;86111.336;78116.16;0.0;65264.336;46516.754
AIP_HUMAN;AIP;39635.918;26370.588;39394.89;43154.598;40604.086;32360.361
GTPB1_HUMAN;GTPBP1;0.0;26631.814;68672.625;0.0;0.0;0.0
STXB3_HUMAN;STXBP3;41216.547;46433.027;37012.277;0.0;35719.61;37682.844
ARVC_HUMAN;ARVCF;0.0;0.0;0.0;0.0;0.0;0.0
SMAP_HUMAN;SMAP;0.0;0.0;0.0;0.0;0.0;0.0
RB27B_HUMAN;RAB27B;0.0;23787.057;0.0;57081.8;58271.695;66493.81
AP3B1_HUMAN;AP3B1;46075.21;55361.15;46327.656;62648.168;47826.516;42048.367
LEG8_HUMAN;LGALS8;0.0;0.0;0.0;0.0;0.0;0.0
NDUS8_HUMAN;NDUFS8;87292.734;57226.023;69720.625;64439.625;0.0;48584.605
PSD11_HUMAN;PSMD11;194945.89;192964.83;213638.52;154802.14;204565.64;186178.88
PSD12_HUMAN;PSMD12;138520.88;145024.67;148526.95;152775.38;134186.39;183678.73
PSMD9_HUMAN;PSMD9;79851.5;94824.69;97804.58;74455.625;86512.7;69671.016
ATOX1_HUMAN;ATOX1;140333.72;148488.25;103817.125;168546.83;167327.56;157753.47
PGRC1_HUMAN;PGRMC1;102065.55;84795.73;89836.78;152482.2;119294.875;106085.85
SPT5H_HUMAN;SUPT5H;0.0;40795.094;0.0;0.0;0.0;0.0
DFFA_HUMAN;DFFA;44184.184;38438.605;45878.977;47024.285;32542.941;26931.33
HIP1_HUMAN;HIP1;33819.535;38812.984;45913.035;50289.555;41801.715;44618.64
CLIC1_HUMAN;CLIC1;867944.3;415372.9;746905.06;397290.25;292657.22;451732.84
TR11B_HUMAN;TNFRSF11B;58650.043;76998.25;48953.02;0.0;0.0;0.0
EIF3F_HUMAN;EIF3F;54905.145;77791.18;64790.28;74384.85;74960.445;72788.58
ODPX_HUMAN;PDHX;0.0;0.0;0.0;0.0;0.0;49228.344
MATN2_HUMAN;MATN2;0.0;0.0;0.0;0.0;0.0;0.0
QSOX1_HUMAN;QSOX1;55789.01;25358.008;64144.01;0.0;0.0;34899.758
ACATN_HUMAN;SLC33A1;0.0;0.0;0.0;0.0;0.0;0.0
WASL_HUMAN;WASL;0.0;0.0;0.0;0.0;0.0;0.0
IPO5_HUMAN;IPO5;231276.78;243195.28;237846.06;195004.36;213652.44;239894.02
SAP18_HUMAN;SAP18;22426.91;14410.825;0.0;0.0;0.0;0.0
EMAL1_HUMAN;EML1;0.0;32536.336;0.0;0.0;0.0;0.0
IF2B3_HUMAN;IGF2BP3;0.0;60959.71;110713.34;0.0;72378.53;97398.58
DNM1L_HUMAN;DNM1L;70289.82;80582.05;80611.086;73105.48;55306.688;79065.03
RTCA_HUMAN;RTCA;19841.24;50588.19;32194.611;0.0;49269.695;46718.92
P3C2A_HUMAN;PIK3C2A;0.0;0.0;0.0;0.0;0.0;0.0
GOLI4_HUMAN;GOLIM4;214446.67;199321.83;224419.1;261016.84;258119.25;167297.08
MANBA_HUMAN;MANBA;0.0;0.0;0.0;0.0;0.0;0.0
EXOC5_HUMAN;EXOC5;26322.066;49241.14;33115.32;93724.44;57222.4;51225.04
HMGN4_HUMAN;HMGN4;12288.924;12008.562;0.0;0.0;0.0;0.0
NDUA4_HUMAN;NDUFA4;0.0;0.0;0.0;0.0;87134.13;0.0
PSDE_HUMAN;PSMD14;147437.48;206520.88;125536.95;178698.61;227506.36;224569.58
BIN1_HUMAN;BIN1;0.0;26152.523;36587.363;0.0;22066.73;30480.55
IMA4_HUMAN;KPNA3;33033.758;45321.023;66667.21;40431.887;41658.652;36797.453
STK25_HUMAN;STK25;0.0;25567.8;22096.479;0.0;0.0;0.0
VMA5A_HUMAN;VWA5A;27801.762;30532.004;0.0;0.0;29893.088;40815.047
PESC_HUMAN;PES1;0.0;34918.258;0.0;0.0;0.0;0.0
SDCB1_HUMAN;SDCBP;292277.66;212691.89;208324.48;164322.88;227143.1;249051.47
MPP10_HUMAN;MPHOSPH10;40589.523;57113.19;63276.418;80420.09;96983.336;81636.57
NOP56_HUMAN;NOP56;55353.19;54127.324;62692.58;52355.89;0.0;68701.54
DDX3X_HUMAN;DDX3X;140384.7;172972.7;164600.16;99765.125;104790.72;111668.71
RNT2_HUMAN;RNASET2;23658.195;0.0;0.0;0.0;26129.066;20497.64
CCN1_HUMAN;CCN1;0.0;69717.34;52014.867;0.0;0.0;27396.94
PIR_HUMAN;PIR;0.0;37360.703;0.0;0.0;47744.574;31865.697
TRI38_HUMAN;TRIM38;0.0;0.0;0.0;25798.18;0.0;0.0
PPP6_HUMAN;PPP6C;34494.863;57011.11;33585.49;62082.406;52260.844;42325.758
EST2_HUMAN;CES2;0.0;0.0;0.0;0.0;0.0;0.0
MA2B1_HUMAN;MAN2B1;81832.12;100734.78;0.0;100439.484;0.0;58190.88
UBE2C_HUMAN;UBE2C;0.0;0.0;0.0;0.0;0.0;0.0
PDXK_HUMAN;PDXK;209074.05;208924.94;162385.39;276878.4;310468.5;236425.94
SCD_HUMAN;SCD;44734.562;0.0;0.0;0.0;22740.191;0.0
PLPP1_HUMAN;PLPP1;0.0;0.0;0.0;0.0;0.0;0.0
PLPP3_HUMAN;PLPP3;88584.625;58904.1;105397.664;61211.664;0.0;38142.35
ISLR_HUMAN;ISLR;0.0;0.0;0.0;0.0;0.0;0.0
CDKA1_HUMAN;CDK2AP1;0.0;0.0;0.0;0.0;0.0;0.0
DHSD_HUMAN;SDHD;0.0;0.0;0.0;0.0;23493.2;39986.523
TXND9_HUMAN;TXNDC9;0.0;31437.518;0.0;0.0;0.0;0.0
DPYL4_HUMAN;DPYSL4;0.0;0.0;0.0;0.0;0.0;0.0
TRAD1_HUMAN;TRAFD1;0.0;0.0;0.0;0.0;0.0;0.0
COX7R_HUMAN;COX7A2L;0.0;0.0;0.0;0.0;0.0;0.0
HSPB6_HUMAN;HSPB6;68164.05;0.0;87724.97;0.0;0.0;65089.97
ACPM_HUMAN;NDUFAB1;0.0;57036.426;47768.113;118165.83;137876.08;114699.94
UBFD1_HUMAN;UBFD1;0.0;0.0;0.0;0.0;0.0;0.0
C56D2_HUMAN;CYB561D2;0.0;0.0;0.0;0.0;0.0;0.0
DC1I1_HUMAN;DYNC1I1;0.0;0.0;0.0;0.0;0.0;0.0
COPE_HUMAN;COPE;102069.53;111518.91;91804.484;94801.78;127814.87;111150.91
BORG1_HUMAN;CDC42EP2;0.0;0.0;0.0;0.0;0.0;0.0
AP3D1_HUMAN;AP3D1;53778.22;68743.484;55424.92;62124.273;57043.21;68163.5
CCS_HUMAN;CCS;28856.021;33494.1;26814.275;0.0;0.0;0.0
DVL2_HUMAN;DVL2;0.0;0.0;0.0;0.0;0.0;0.0
GOSR2_HUMAN;GOSR2;40266.117;32645.584;34741.832;0.0;154955.61;23730.26
TOR1A_HUMAN;TOR1A;35443.727;64912.406;0.0;60870.117;0.0;69069.52
TOR1B_HUMAN;TOR1B;0.0;0.0;0.0;0.0;0.0;0.0
ADA10_HUMAN;ADAM10;39064.363;33254.273;51357.21;30172.908;24768.588;34800.637
EI24_HUMAN;EI24;0.0;0.0;0.0;0.0;0.0;0.0
P5I11_HUMAN;TP53I11;0.0;0.0;0.0;0.0;0.0;0.0
PTGES_HUMAN;PTGES;0.0;0.0;0.0;0.0;0.0;0.0
ITBP1_HUMAN;ITGB1BP1;0.0;0.0;0.0;0.0;0.0;0.0
APAF_HUMAN;APAF1;0.0;0.0;0.0;0.0;0.0;0.0
RIOK3_HUMAN;RIOK3;0.0;0.0;0.0;0.0;0.0;0.0
IMPA2_HUMAN;IMPA2;0.0;0.0;0.0;0.0;0.0;0.0
ACOT8_HUMAN;ACOT8;0.0;0.0;0.0;0.0;0.0;0.0
CDIPT_HUMAN;CDIPT;0.0;0.0;0.0;0.0;0.0;0.0
PDCD5_HUMAN;PDCD5;207767.88;185761.62;185049.02;195192.66;205073.98;207014.95
ANM5_HUMAN;PRMT5;0.0;17206.398;0.0;0.0;27970.688;21188.156
NHRF1_HUMAN;SLC9A3R1;26660.668;34020.42;25161.686;0.0;31398.773;0.0
H17B6_HUMAN;HSD17B6;0.0;0.0;0.0;0.0;0.0;0.0
TR10B_HUMAN;TNFRSF10B;0.0;0.0;0.0;0.0;0.0;0.0
TPP1_HUMAN;TPP1;74906.67;104005.914;69092.19;175895.64;121345.68;101929.805
TCRG1_HUMAN;TCERG1;0.0;26399.848;29609.05;39464.2;37440.41;24160.951
NDC80_HUMAN;NDC80;0.0;0.0;0.0;0.0;0.0;0.0
NRP1_HUMAN;NRP1;67041.984;53986.082;88327.76;48741.016;63949.07;88498.36
TNPO2_HUMAN;TNPO2;0.0;0.0;0.0;0.0;38711.81;0.0
RPC1_HUMAN;POLR3A;0.0;0.0;0.0;0.0;0.0;0.0
RASM_HUMAN;MRAS;0.0;0.0;0.0;0.0;0.0;0.0
TSN4_HUMAN;TSPAN4;0.0;0.0;0.0;0.0;0.0;0.0
PSA7_HUMAN;PSMA7;111504.91;95608.55;88322.92;96389.664;90793.18;104522.5
SCAM3_HUMAN;SCAMP3;46600.23;31804.53;48138.06;0.0;0.0;0.0
PAHX_HUMAN;PHYH;0.0;0.0;0.0;0.0;0.0;0.0
OPLA_HUMAN;OPLAH;0.0;0.0;0.0;0.0;0.0;0.0
IFIT3_HUMAN;IFIT3;0.0;0.0;0.0;0.0;0.0;0.0
MGST3_HUMAN;MGST3;151125.52;115274.42;113448.17;162435.2;260637.28;172568.9
GEMI2_HUMAN;GEMIN2;0.0;33250.844;0.0;0.0;0.0;0.0
TX1B3_HUMAN;TAX1BP3;41771.992;16350.732;0.0;0.0;0.0;23993.705
GIPC1_HUMAN;GIPC1;0.0;38313.086;0.0;37006.254;27380.637;36199.707
IKKB_HUMAN;IKBKB;0.0;0.0;0.0;0.0;0.0;0.0
TIM23_HUMAN;TIMM23;0.0;0.0;0.0;0.0;0.0;0.0
HAT1_HUMAN;HAT1;0.0;30114.244;40610.055;0.0;0.0;0.0
UB2L6_HUMAN;UBE2L6;16989.537;23774.959;30990.146;0.0;34065.24;0.0
CSKP_HUMAN;CASK;0.0;0.0;0.0;0.0;49195.902;0.0
QCR8_HUMAN;UQCRQ;67160.01;0.0;0.0;0.0;0.0;0.0
ML12B_HUMAN;MYL12B;0.0;0.0;0.0;0.0;0.0;0.0
QCR10_HUMAN;UQCR11;0.0;0.0;0.0;0.0;0.0;0.0
VP26C_HUMAN;VPS26C;33762.11;0.0;0.0;20470.44;27504.027;0.0
MYPT1_HUMAN;PPP1R12A;75299.33;79289.17;62629.117;68894.52;65713.76;74156.69
GAK_HUMAN;GAK;0.0;0.0;0.0;0.0;24668.488;0.0
HNRDL_HUMAN;HNRNPDL;181233.48;220873.95;190760.6;143493.62;126672.09;145631.81
XPO1_HUMAN;XPO1;101800.234;102077.22;113688.22;61883.496;72201.914;112749.73
ARHGA_HUMAN;ARHGEF10;0.0;20424.508;0.0;0.0;0.0;14699.21
SPTN2_HUMAN;SPTBN2;64322.785;62522.67;76737.69;88821.28;0.0;89693.195
SC16A_HUMAN;SEC16A;0.0;0.0;0.0;0.0;0.0;0.0
PLXB2_HUMAN;PLXNB2;74199.03;119347.6;91014.086;99191.5;101980.81;79748.06
KHNYN_HUMAN;KHNYN;0.0;0.0;0.0;0.0;0.0;0.0
TCPR2_HUMAN;TECPR2;0.0;0.0;0.0;0.0;0.0;0.0
SR140_HUMAN;U2SURP;0.0;24450.764;0.0;0.0;0.0;0.0
SYNJ2_HUMAN;SYNJ2;0.0;0.0;0.0;0.0;0.0;0.0
SYNEM_HUMAN;SYNM;0.0;0.0;0.0;0.0;0.0;0.0
KIF3B_HUMAN;KIF3B;0.0;0.0;0.0;0.0;28602.021;0.0
PUR4_HUMAN;PFAS;35652.973;63035.273;51623.91;41144.24;59970.676;61292.582
DCLK1_HUMAN;DCLK1;0.0;0.0;0.0;0.0;0.0;0.0
ANR28_HUMAN;ANKRD28;25050.938;37952.477;0.0;0.0;0.0;0.0
ARHGB_HUMAN;ARHGEF11;0.0;0.0;0.0;0.0;0.0;0.0
LSM1_HUMAN;LSM1;43545.715;31650.092;0.0;0.0;29990.229;33593.152
NPC1_HUMAN;NPC1;135749.27;106452.74;81753.85;95088.055;177662.52;134799.4
DEGS1_HUMAN;DEGS1;22151.252;29540.227;38388.816;0.0;24632.893;40164.027
SCAM1_HUMAN;SCAMP1;46652.914;0.0;0.0;0.0;0.0;0.0
SCAM2_HUMAN;SCAMP2;55432.914;0.0;0.0;0.0;0.0;0.0
ARC1B_HUMAN;ARPC1B;323268.94;343066.94;321223.5;429658.53;373078.12;361562.6
ARPC2_HUMAN;ARPC2;254780.05;263619.94;219134.12;296202.3;349522.94;360106.16
ARPC3_HUMAN;ARPC3;245433.81;184589.11;183370.3;250126.36;145680.83;166803.19
BET1_HUMAN;BET1;22809.975;0.0;0.0;0.0;0.0;0.0
RPAC1_HUMAN;POLR1C;36137.676;0.0;0.0;0.0;0.0;0.0
PLS1_HUMAN;PLSCR1;0.0;0.0;0.0;0.0;0.0;0.0
PGRC2_HUMAN;PGRMC2;118928.14;42696.406;82015.2;0.0;39205.414;63373.926
PFD6_HUMAN;PFDN6;42225.066;62324.723;45883.234;75228.8;41750.633;32001.865
GNPAT_HUMAN;GNPAT;0.0;0.0;0.0;0.0;0.0;0.0
ZN185_HUMAN;ZNF185;0.0;0.0;0.0;0.0;0.0;0.0
RT12_HUMAN;MRPS12;0.0;0.0;0.0;0.0;0.0;0.0
OBRG_HUMAN;LEPROT;0.0;0.0;0.0;0.0;0.0;0.0
CLIC2_HUMAN;CLIC2;0.0;0.0;0.0;0.0;0.0;0.0
ACOX3_HUMAN;ACOX3;0.0;0.0;0.0;0.0;0.0;0.0
RER1_HUMAN;RER1;0.0;57734.31;0.0;0.0;0.0;42929.836
SURF4_HUMAN;SURF4;77979.94;96562.34;85664.516;39599.184;74487.695;59733.25
SPTC1_HUMAN;SPTLC1;41072.234;64712.72;62421.008;0.0;0.0;28893.844
SPTC2_HUMAN;SPTLC2;0.0;49678.85;26031.516;0.0;0.0;0.0
OGT1_HUMAN;OGT;19317.348;26996.988;29991.367;0.0;0.0;0.0
LX15B_HUMAN;ALOX15B;0.0;0.0;0.0;0.0;0.0;0.0
PMM2_HUMAN;PMM2;66644.91;106211.16;91322.92;0.0;67883.43;81964.72
TRI18_HUMAN;MID1;0.0;0.0;0.0;0.0;0.0;0.0
HMGB3_HUMAN;HMGB3;54374.74;130791.016;90486.62;0.0;43047.727;63609.92
PPM1G_HUMAN;PPM1G;43218.86;47373.91;53917.98;0.0;0.0;43008.18
SHIP2_HUMAN;INPPL1;0.0;30458.5;0.0;0.0;0.0;0.0
EIF3D_HUMAN;EIF3D;78921.32;84515.25;97314.47;54520.18;59670.47;67708.11
EIF3H_HUMAN;EIF3H;86062.63;151076.25;90095.5;134274.2;87279.13;119097.64
BCAT2_HUMAN;BCAT2;0.0;27503.32;0.0;46063.848;30070.945;46357.613
IPO8_HUMAN;IPO8;0.0;31383.016;0.0;0.0;0.0;0.0
STX7_HUMAN;STX7;69259.55;45556.85;69320.24;0.0;0.0;0.0
MOT7_HUMAN;SLC16A6;0.0;0.0;0.0;0.0;0.0;0.0
MOT4_HUMAN;SLC16A3;0.0;0.0;0.0;0.0;27914.824;0.0
COPT1_HUMAN;SLC31A1;0.0;0.0;0.0;0.0;0.0;0.0
MRP3_HUMAN;ABCC3;0.0;0.0;0.0;0.0;0.0;0.0
MRP4_HUMAN;ABCC4;0.0;26919.508;0.0;0.0;0.0;29289.121
TLR3_HUMAN;TLR3;0.0;0.0;0.0;0.0;0.0;0.0
P4HA2_HUMAN;P4HA2;148359.83;154035.44;156038.53;91279.1;107232.26;71518.33
CAN5_HUMAN;CAPN5;0.0;0.0;0.0;0.0;0.0;0.0
YKT6_HUMAN;YKT6;72068.805;100998.35;105061.05;108924.51;76467.68;95901.41
ARPC5_HUMAN;ARPC5;139567.86;119838.04;60161.793;112956.69;153245.8;125759.61
RPB4_HUMAN;POLR2D;0.0;0.0;0.0;0.0;0.0;0.0
DDX3Y_HUMAN;DDX3Y;0.0;0.0;27711.31;0.0;0.0;0.0
PDPK1_HUMAN;PDPK1;0.0;0.0;0.0;0.0;0.0;0.0
TPSN_HUMAN;TAPBP;54594.656;42043.316;50500.09;41306.656;29439.86;27701.11
DHX15_HUMAN;DHX15;71295.15;85788.734;95379.9;64559.258;61549.527;64490.094
MCES_HUMAN;RNMT;30376.97;19153.502;44369.63;0.0;0.0;0.0
ZZEF1_HUMAN;ZZEF1;0.0;0.0;0.0;0.0;0.0;0.0
ASAP2_HUMAN;ASAP2;0.0;0.0;0.0;0.0;0.0;0.0
FLRT2_HUMAN;FLRT2;0.0;0.0;0.0;0.0;0.0;0.0
TTI1_HUMAN;TTI1;0.0;0.0;0.0;0.0;0.0;0.0
PLXB1_HUMAN;PLXNB1;0.0;0.0;0.0;0.0;0.0;0.0
SI1L1_HUMAN;SIPA1L1;0.0;0.0;0.0;0.0;0.0;0.0
PRP4_HUMAN;PRPF4;0.0;24917.549;36171.8;0.0;0.0;21596.906
SERA_HUMAN;PHGDH;166660.66;276552.62;212078.73;120957.58;160214.81;211308.75
NDUS4_HUMAN;NDUFS4;44427.203;31566.424;0.0;52846.08;45448.074;46685.637
DC1L2_HUMAN;DYNC1LI2;40287.723;49305.152;46194.992;65129.727;72511.16;59146.375
PSMD3_HUMAN;PSMD3;84002.54;97394.11;99071.766;64745.293;82109.43;98080.76
PAPS1_HUMAN;PAPSS1;23481.152;59250.08;63175.605;94127.76;41623.65;37884.508
ZW10_HUMAN;ZW10;34392.965;30904.785;39788.465;0.0;34734.324;27326.084
SNUT1_HUMAN;SART1;0.0;0.0;0.0;0.0;0.0;0.0
SPIT2_HUMAN;SPINT2;0.0;0.0;0.0;0.0;0.0;0.0
GPAA1_HUMAN;GPAA1;0.0;0.0;0.0;0.0;0.0;0.0
DAPK3_HUMAN;DAPK3;0.0;0.0;0.0;0.0;0.0;0.0
TGFI1_HUMAN;TGFB1I1;54956.72;86189.375;65179.27;81042.51;63566.227;64939.453
AP5Z1_HUMAN;AP5Z1;0.0;0.0;0.0;0.0;0.0;0.0
CTIF_HUMAN;CTIF;0.0;15001.792;0.0;0.0;18522.312;0.0
VIP2_HUMAN;PPIP5K2;0.0;29254.598;21299.277;0.0;0.0;26616.666
M3K7_HUMAN;MAP3K7;0.0;0.0;0.0;0.0;0.0;0.0
MCA3_HUMAN;EEF1E1;50344.8;36661.91;66072.1;29827.63;43667.805;50931.883
RIPK2_HUMAN;RIPK2;0.0;0.0;0.0;0.0;0.0;0.0
HNRPR_HUMAN;HNRNPR;141659.64;139262.83;172919.84;152470.64;131503.89;122917.48
PRPF3_HUMAN;PRPF3;144966.61;135449.3;133479.17;0.0;0.0;0.0
TXNL1_HUMAN;TXNL1;56639.12;52284.055;53674.496;47299.312;43844.5;45842.37
TPD54_HUMAN;TPD52L2;195730.25;212019.2;160946.44;245963.52;221986.14;217283.86
EMC8_HUMAN;EMC8;0.0;0.0;0.0;0.0;0.0;0.0
ERI3_HUMAN;ERI3;0.0;0.0;0.0;0.0;0.0;0.0
FIBP_HUMAN;FIBP;0.0;0.0;0.0;0.0;0.0;0.0
PPIH_HUMAN;PPIH;0.0;0.0;0.0;0.0;0.0;0.0
HTRA2_HUMAN;HTRA2;0.0;0.0;0.0;0.0;0.0;0.0
ARK72_HUMAN;AKR7A2;94127.57;73592.18;94125.91;100860.875;80538.69;72727.766
E41L2_HUMAN;EPB41L2;74153.11;65836.28;73422.33;77344.875;66521.78;51506.14
TGON2_HUMAN;TGOLN2;0.0;0.0;0.0;0.0;0.0;0.0
LTOR5_HUMAN;LAMTOR5;79228.08;53655.33;37755.047;39290.93;47166.355;60657.8
B4GA1_HUMAN;B4GAT1;0.0;0.0;0.0;0.0;30954.004;0.0
AT8B1_HUMAN;ATP8B1;0.0;17862.824;0.0;0.0;0.0;0.0
CAH12_HUMAN;CA12;0.0;0.0;0.0;0.0;0.0;0.0
DENR_HUMAN;DENR;50863.742;0.0;0.0;0.0;0.0;0.0
XPOT_HUMAN;XPOT;54864.06;34291.45;39846.953;0.0;30301.719;31053.842
DNPH1_HUMAN;DNPH1;67786.805;51677.188;51924.96;62519.14;91215.2;78161.29
TIM44_HUMAN;TIMM44;73039.3;55132.895;80887.88;53258.734;72840.8;69235.83
TPPC3_HUMAN;TRAPPC3;0.0;0.0;0.0;0.0;0.0;0.0
CHM2A_HUMAN;CHMP2A;33872.95;32020.098;0.0;58151.402;0.0;0.0
TSN6_HUMAN;TSPAN6;0.0;0.0;0.0;0.0;0.0;0.0
PLRG1_HUMAN;PLRG1;0.0;0.0;21122.812;0.0;0.0;0.0
RGS10_HUMAN;RGS10;0.0;0.0;0.0;0.0;35527.293;0.0
ZN207_HUMAN;ZNF207;0.0;22685.184;0.0;0.0;0.0;0.0
NDUB5_HUMAN;NDUFB5;47896.785;38122.434;38815.355;50791.625;56012.297;47891.29
NDUB3_HUMAN;NDUFB3;0.0;0.0;0.0;0.0;0.0;0.0
NDUA2_HUMAN;NDUFA2;0.0;0.0;0.0;0.0;0.0;0.0
GET3_HUMAN;GET3;92498.96;93753.695;77394.13;66599.195;101845.74;102810.266
BUB3_HUMAN;BUB3;53909.926;55773.344;64323.9;43599.28;41928.79;42243.715
ACTN4_HUMAN;ACTN4;2553747.0;2969949.0;2699059.2;2688931.8;2784780.5;3348257.5
MAAI_HUMAN;GSTZ1;40832.688;57465.36;42106.207;0.0;39402.312;50830.746
TRIA1_HUMAN;TRIAP1;30704.53;0.0;0.0;26902.459;34513.26;28194.924
ERD23_HUMAN;KDELR3;0.0;0.0;0.0;0.0;0.0;0.0
CYH3_HUMAN;CYTH3;0.0;0.0;0.0;0.0;0.0;0.0
AAKB2_HUMAN;PRKAB2;0.0;0.0;0.0;0.0;0.0;0.0
AP1G1_HUMAN;AP1G1;35536.715;49190.414;40976.3;41751.25;41298.76;41516.78
STX6_HUMAN;STX6;0.0;0.0;0.0;0.0;0.0;0.0
SNG1_HUMAN;SYNGR1;0.0;0.0;0.0;0.0;0.0;0.0
SNG2_HUMAN;SYNGR2;0.0;0.0;0.0;0.0;0.0;0.0
SGTA_HUMAN;SGTA;162659.0;156595.28;156476.94;245063.17;121864.26;119160.02
ENSA_HUMAN;ENSA;0.0;0.0;0.0;0.0;0.0;0.0
MCAT_HUMAN;SLC25A20;0.0;0.0;0.0;0.0;0.0;0.0
SYNC_HUMAN;NARS1;180081.11;145869.53;157515.56;130439.47;180819.44;143718.92
MYO1B_HUMAN;MYO1B;82862.375;88134.52;93307.24;77624.46;46665.26;41497.95
SSNA1_HUMAN;SSNA1;0.0;0.0;0.0;0.0;0.0;0.0
CPSF5_HUMAN;NUDT21;63672.273;74108.78;81045.695;51285.02;66034.71;92285.76
LANC1_HUMAN;LANCL1;33008.35;57675.17;0.0;83428.17;87137.17;65567.13
STRN_HUMAN;STRN;44541.97;43973.93;41979.07;48215.336;63360.758;48863.68
U3IP2_HUMAN;RRP9;0.0;31898.0;40099.035;43475.098;50596.074;40911.727
SCO2_HUMAN;SCO2;0.0;0.0;0.0;0.0;0.0;0.0
CF410_HUMAN;CFAP410;0.0;0.0;0.0;0.0;0.0;0.0
IDH3B_HUMAN;IDH3B;34035.863;29723.738;34878.062;29992.322;45416.395;33610.34
NRDC_HUMAN;NRDC;27121.783;45130.137;33081.867;30475.46;31874.938;27437.605
CALU_HUMAN;CALU;646385.25;647636.2;485972.0;662960.75;769260.6;710524.94
