Protein.ID;Gene;Ost_c_11 MaxLFQ Intensity;Ost_c_12 MaxLFQ Intensity;Ost_c_20 MaxLFQ Intensity;Ost_c_22 MaxLFQ Intensity;Ost_d_11 MaxLFQ Intensity;Ost_d_12 MaxLFQ Intensity;Ost_d_20 MaxLFQ Intensity;Ost_d_22 MaxLFQ Intensity
EIFCL_HUMAN;EIF3CL;134746.12;115780.3;86373.375;128049.69;137671.22;120453.1;101297.15;107645.91
GPHRA_HUMAN;GPR89A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MCRI1_HUMAN;MCRIP1;259573.36;0.0;0.0;99166.22;207000.16;246508.25;0.0;0.0
NACAM_HUMAN;NACA;175951.98;167478.72;260117.23;148214.05;188266.81;152723.69;205943.6;141587.34
CK098_HUMAN;C11orf98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
S35U4_HUMAN;SLC35A4;0.0;0.0;0.0;16679.295;0.0;0.0;0.0;0.0
OVOL3_HUMAN;OVOL3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNS2A_HUMAN;DNASE2;0.0;0.0;0.0;35046.02;0.0;0.0;0.0;0.0
ADAS_HUMAN;AGPS;41695.16;43711.742;35970.414;31190.457;58693.734;36852.863;33807.773;34554.74
KITM_HUMAN;TK2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DX39A_HUMAN;DDX39A;0.0;47844.047;0.0;34550.06;0.0;37723.22;22105.807;0.0
PDLI1_HUMAN;PDLIM1;66934.016;0.0;123164.45;80837.16;70811.67;41876.844;109870.55;83784.01
BACH_HUMAN;ACOT7;115277.76;114216.2;105828.68;110175.92;107452.055;119134.945;111637.86;119710.57
MYO1C_HUMAN;MYO1C;179565.23;200582.81;154695.48;189872.08;171653.1;216259.4;231487.6;210980.22
SNP23_HUMAN;SNAP23;0.0;54806.445;0.0;75605.164;85224.68;0.0;0.0;0.0
AIP_HUMAN;AIP;38743.137;33895.996;31314.85;25808.637;47294.234;33489.914;0.0;33829.594
GTPB1_HUMAN;GTPBP1;0.0;0.0;0.0;30510.244;0.0;28562.67;0.0;0.0
STXB3_HUMAN;STXBP3;40994.42;40916.688;39424.484;53608.27;0.0;53354.434;47589.918;0.0
ARVC_HUMAN;ARVCF;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SMAP_HUMAN;SMAP;0.0;0.0;0.0;80207.43;0.0;0.0;0.0;0.0
RB27B_HUMAN;RAB27B;0.0;0.0;0.0;37125.184;0.0;25135.285;0.0;32794.426
AP3B1_HUMAN;AP3B1;59324.035;70413.484;49198.45;65254.027;62668.594;71258.37;51788.855;75624.91
LEG8_HUMAN;LGALS8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NDUS8_HUMAN;NDUFS8;80747.555;73684.71;99280.02;65298.93;90701.32;58720.93;105383.7;50219.258
PSD11_HUMAN;PSMD11;182874.86;211730.44;203052.58;181074.86;206537.23;190569.02;203661.47;174664.12
PSD12_HUMAN;PSMD12;159609.53;154663.02;118078.914;172270.78;125017.82;154226.06;209395.88;169373.62
PSMD9_HUMAN;PSMD9;100863.97;93384.19;95814.29;85349.76;69847.93;86384.414;0.0;79282.08
ATOX1_HUMAN;ATOX1;125188.46;100789.21;167612.5;158938.86;132384.02;163839.48;140987.66;159886.5
PGRC1_HUMAN;PGRMC1;72864.02;81526.87;59176.51;60344.438;111904.54;0.0;59841.402;0.0
SPT5H_HUMAN;SUPT5H;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22226.451
DFFA_HUMAN;DFFA;50588.152;43274.72;52427.54;34555.18;44163.066;43273.69;23572.256;35532.05
HIP1_HUMAN;HIP1;0.0;33365.33;0.0;33008.844;53055.52;65424.484;96928.12;60053.047
CLIC1_HUMAN;CLIC1;471049.12;603876.5;658841.75;434620.03;756366.44;453033.53;355642.62;294854.3
TR11B_HUMAN;TNFRSF11B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3F_HUMAN;EIF3F;77309.125;81688.84;49259.887;68308.68;56487.867;81886.48;56381.035;58327.73
ODPX_HUMAN;PDHX;0.0;0.0;0.0;0.0;44481.953;0.0;0.0;0.0
MATN2_HUMAN;MATN2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
QSOX1_HUMAN;QSOX1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ACATN_HUMAN;SLC33A1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
WASL_HUMAN;WASL;0.0;0.0;0.0;14184.645;0.0;22498.566;0.0;0.0
IPO5_HUMAN;IPO5;252350.12;202364.02;202522.36;275936.56;168098.4;193006.0;278277.1;197786.3
SAP18_HUMAN;SAP18;0.0;0.0;0.0;19096.395;0.0;25897.639;0.0;0.0
EMAL1_HUMAN;EML1;0.0;0.0;0.0;23983.049;0.0;0.0;0.0;0.0
IF2B3_HUMAN;IGF2BP3;0.0;63374.668;0.0;54275.39;0.0;0.0;0.0;0.0
DNM1L_HUMAN;DNM1L;118206.266;100474.46;115975.05;104297.375;76876.266;75886.55;163650.53;70207.516
RTCA_HUMAN;RTCA;58727.664;52244.555;43309.145;51630.28;40868.49;49541.734;46566.152;31765.932
P3C2A_HUMAN;PIK3C2A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GOLI4_HUMAN;GOLIM4;271042.9;205099.98;190711.0;211170.94;189506.08;161824.3;184476.17;238980.72
MANBA_HUMAN;MANBA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EXOC5_HUMAN;EXOC5;0.0;48219.42;43388.348;49198.37;28951.658;0.0;52296.875;90714.68
HMGN4_HUMAN;HMGN4;26459.047;20747.098;0.0;13466.302;0.0;0.0;0.0;0.0
NDUA4_HUMAN;NDUFA4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67051.96
PSDE_HUMAN;PSMD14;143436.33;137634.69;136310.33;199237.94;133036.56;189083.1;197607.23;155366.16
BIN1_HUMAN;BIN1;0.0;0.0;54681.918;35423.83;0.0;26151.346;0.0;0.0
IMA4_HUMAN;KPNA3;31344.385;33743.883;32815.586;33828.633;22330.018;42720.66;43048.04;36946.16
STK25_HUMAN;STK25;0.0;33547.42;29454.951;27635.275;0.0;0.0;35088.32;0.0
VMA5A_HUMAN;VWA5A;56410.406;0.0;0.0;63271.957;63259.887;0.0;0.0;36943.363
PESC_HUMAN;PES1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SDCB1_HUMAN;SDCBP;222787.31;219122.3;207647.44;296699.28;295158.97;201666.67;256270.9;191199.81
MPP10_HUMAN;MPHOSPH10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NOP56_HUMAN;NOP56;50520.59;59950.73;0.0;49703.035;51541.273;53354.02;46862.6;29352.117
DDX3X_HUMAN;DDX3X;244097.53;196530.17;154321.33;180565.69;162632.12;135416.84;154941.4;114836.42
RNT2_HUMAN;RNASET2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CCN1_HUMAN;CCN1;35838.547;0.0;61643.1;33211.19;50694.26;42669.016;35761.84;30201.273
PIR_HUMAN;PIR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TRI38_HUMAN;TRIM38;0.0;0.0;0.0;0.0;27640.803;21622.832;17873.916;24483.465
PPP6_HUMAN;PPP6C;51457.543;51794.23;36326.97;41940.254;40467.617;54742.656;45826.29;64145.035
EST2_HUMAN;CES2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MA2B1_HUMAN;MAN2B1;0.0;78050.945;65202.086;66128.11;34269.57;0.0;0.0;0.0
UBE2C_HUMAN;UBE2C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDXK_HUMAN;PDXK;184208.36;174685.69;218439.25;219148.38;296171.6;319796.44;230863.31;294273.16
SCD_HUMAN;SCD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLPP1_HUMAN;PLPP1;0.0;193486.89;66156.836;0.0;0.0;62428.113;99767.42;0.0
PLPP3_HUMAN;PLPP3;0.0;107184.24;0.0;44171.164;59436.027;55174.996;74985.234;0.0
ISLR_HUMAN;ISLR;88495.84;96347.75;0.0;23722.516;0.0;81633.04;30516.69;0.0
CDKA1_HUMAN;CDK2AP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DHSD_HUMAN;SDHD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TXND9_HUMAN;TXNDC9;0.0;0.0;0.0;0.0;0.0;25364.262;0.0;0.0
DPYL4_HUMAN;DPYSL4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TRAD1_HUMAN;TRAFD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
COX7R_HUMAN;COX7A2L;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSPB6_HUMAN;HSPB6;240355.1;334780.53;287386.97;313211.12;198358.34;188670.56;164928.1;203566.27
ACPM_HUMAN;NDUFAB1;56666.734;0.0;0.0;60401.953;0.0;72057.805;76701.945;69609.516
UBFD1_HUMAN;UBFD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C56D2_HUMAN;CYB561D2;0.0;0.0;0.0;0.0;0.0;0.0;17424.93;0.0
DC1I1_HUMAN;DYNC1I1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
COPE_HUMAN;COPE;122144.12;97596.34;126104.95;119632.82;142982.28;103612.57;124875.805;118736.875
BORG1_HUMAN;CDC42EP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP3D1_HUMAN;AP3D1;60261.625;56394.73;67999.2;76027.29;58890.863;59674.53;94113.24;70136.04
CCS_HUMAN;CCS;0.0;0.0;38842.32;31144.654;0.0;0.0;0.0;0.0
DVL2_HUMAN;DVL2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GOSR2_HUMAN;GOSR2;0.0;30760.996;0.0;31162.188;0.0;32551.545;29606.506;60228.34
TOR1A_HUMAN;TOR1A;53250.453;0.0;60523.9;51271.566;0.0;86407.445;71793.33;61105.406
TOR1B_HUMAN;TOR1B;0.0;0.0;0.0;22250.4;0.0;0.0;20709.502;0.0
ADA10_HUMAN;ADAM10;46900.77;30188.836;0.0;26781.244;39725.28;20037.377;26039.973;24428.686
EI24_HUMAN;EI24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
P5I11_HUMAN;TP53I11;0.0;0.0;0.0;17982.445;0.0;0.0;42650.008;0.0
PTGES_HUMAN;PTGES;0.0;0.0;0.0;44254.234;0.0;0.0;105489.78;0.0
ITBP1_HUMAN;ITGB1BP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
APAF_HUMAN;APAF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RIOK3_HUMAN;RIOK3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IMPA2_HUMAN;IMPA2;0.0;0.0;0.0;0.0;0.0;26923.51;0.0;14526.98
ACOT8_HUMAN;ACOT8;0.0;0.0;0.0;36055.363;0.0;0.0;0.0;0.0
CDIPT_HUMAN;CDIPT;0.0;0.0;0.0;18451.176;0.0;24899.254;44422.027;0.0
PDCD5_HUMAN;PDCD5;263102.38;179966.52;228617.67;169063.53;244502.77;167202.62;128231.67;164052.27
ANM5_HUMAN;PRMT5;0.0;0.0;0.0;16241.249;36074.86;24002.625;23345.06;19353.312
NHRF1_HUMAN;SLC9A3R1;0.0;69550.49;0.0;34908.98;60384.992;76452.53;0.0;0.0
H17B6_HUMAN;HSD17B6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TR10B_HUMAN;TNFRSF10B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPP1_HUMAN;TPP1;78032.49;95920.42;95175.47;68007.24;38450.582;98707.54;80781.78;64997.977
TCRG1_HUMAN;TCERG1;0.0;33797.38;0.0;21508.71;0.0;28138.223;0.0;0.0
NDC80_HUMAN;NDC80;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NRP1_HUMAN;NRP1;54666.316;63401.016;80994.695;41701.582;48445.562;48970.734;60607.01;36482.184
TNPO2_HUMAN;TNPO2;0.0;0.0;0.0;20159.03;0.0;0.0;0.0;24009.51
RPC1_HUMAN;POLR3A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RASM_HUMAN;MRAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TSN4_HUMAN;TSPAN4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSA7_HUMAN;PSMA7;108777.02;97101.17;96241.38;85506.35;114951.19;80406.086;67379.18;80958.16
SCAM3_HUMAN;SCAMP3;0.0;45379.27;0.0;41666.39;60360.605;0.0;38225.953;0.0
PAHX_HUMAN;PHYH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OPLA_HUMAN;OPLAH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IFIT3_HUMAN;IFIT3;0.0;0.0;0.0;0.0;0.0;0.0;28507.857;0.0
MGST3_HUMAN;MGST3;85387.87;90309.12;133944.39;119718.67;108427.63;189075.66;209917.08;229131.64
GEMI2_HUMAN;GEMIN2;0.0;0.0;0.0;28133.898;0.0;40147.61;0.0;0.0
TX1B3_HUMAN;TAX1BP3;0.0;0.0;0.0;24371.664;135632.36;28977.213;26392.129;0.0
GIPC1_HUMAN;GIPC1;50775.383;0.0;0.0;45182.42;0.0;43364.758;44419.105;34582.17
IKKB_HUMAN;IKBKB;0.0;0.0;0.0;92335.34;0.0;0.0;0.0;0.0
TIM23_HUMAN;TIMM23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HAT1_HUMAN;HAT1;0.0;0.0;0.0;0.0;34800.234;0.0;0.0;0.0
UB2L6_HUMAN;UBE2L6;31563.086;32473.99;0.0;22047.295;0.0;19505.715;28022.83;0.0
CSKP_HUMAN;CASK;0.0;0.0;0.0;26438.365;0.0;0.0;0.0;0.0
QCR8_HUMAN;UQCRQ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ML12B_HUMAN;MYL12B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
QCR10_HUMAN;UQCR11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP26C_HUMAN;VPS26C;0.0;28548.053;31764.611;30411.13;28081.588;27744.383;0.0;34024.06
MYPT1_HUMAN;PPP1R12A;105562.375;61611.527;80002.27;77167.6;60842.047;70003.34;68631.28;58510.97
GAK_HUMAN;GAK;0.0;21369.594;0.0;14316.022;0.0;0.0;0.0;0.0
HNRDL_HUMAN;HNRNPDL;201458.81;190067.17;160547.73;165101.1;162952.89;156818.88;108031.43;117306.98
XPO1_HUMAN;XPO1;104284.31;102053.586;74022.41;96207.625;95131.96;101213.11;108255.19;65501.375
ARHGA_HUMAN;ARHGEF10;0.0;0.0;0.0;17014.145;0.0;20844.004;0.0;36044.184
SPTN2_HUMAN;SPTBN2;0.0;82874.07;81437.7;89294.84;73308.26;77634.86;88739.67;89425.6
SC16A_HUMAN;SEC16A;0.0;16118.281;0.0;28376.18;0.0;23356.145;0.0;0.0
PLXB2_HUMAN;PLXNB2;111143.055;102875.02;117367.516;115344.35;88973.836;117258.97;109014.09;185584.9
KHNYN_HUMAN;KHNYN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TCPR2_HUMAN;TECPR2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SR140_HUMAN;U2SURP;0.0;0.0;0.0;18338.77;0.0;0.0;0.0;0.0
SYNJ2_HUMAN;SYNJ2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SYNEM_HUMAN;SYNM;0.0;91162.27;0.0;0.0;0.0;36035.305;0.0;0.0
KIF3B_HUMAN;KIF3B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35709.96
PUR4_HUMAN;PFAS;46299.273;34539.17;0.0;36634.64;0.0;44280.97;34455.406;31511.533
DCLK1_HUMAN;DCLK1;78979.375;52911.64;102192.47;145991.83;0.0;0.0;76791.98;37682.168
ANR28_HUMAN;ANKRD28;0.0;0.0;0.0;0.0;0.0;44550.21;0.0;35122.234
ARHGB_HUMAN;ARHGEF11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LSM1_HUMAN;LSM1;0.0;0.0;34348.633;30566.898;0.0;36846.15;24603.078;0.0
NPC1_HUMAN;NPC1;108994.36;152923.34;88716.914;226944.14;124169.305;128670.12;139796.7;174638.6
DEGS1_HUMAN;DEGS1;0.0;37391.58;25173.053;42978.953;26335.64;31995.965;48964.51;32254.127
SCAM1_HUMAN;SCAMP1;0.0;0.0;0.0;31001.209;0.0;0.0;0.0;0.0
SCAM2_HUMAN;SCAMP2;0.0;0.0;0.0;0.0;73865.234;0.0;0.0;0.0
ARC1B_HUMAN;ARPC1B;398187.22;358617.03;366751.44;393986.0;330231.28;465576.9;388219.1;527742.6
ARPC2_HUMAN;ARPC2;232052.69;239341.5;248100.0;303004.72;240884.33;339029.34;343041.44;363073.12
ARPC3_HUMAN;ARPC3;197122.45;225352.52;259061.83;220238.58;240156.7;248946.97;224329.02;252799.02
BET1_HUMAN;BET1;0.0;0.0;0.0;0.0;27926.26;0.0;0.0;0.0
RPAC1_HUMAN;POLR1C;0.0;0.0;62900.9;25032.934;65046.555;0.0;0.0;0.0
PLS1_HUMAN;PLSCR1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PGRC2_HUMAN;PGRMC2;0.0;70533.98;81465.03;51551.336;140986.5;24727.873;70428.0;0.0
PFD6_HUMAN;PFDN6;37400.84;38086.754;64033.816;34034.53;44415.723;36492.64;0.0;0.0
GNPAT_HUMAN;GNPAT;0.0;0.0;0.0;0.0;0.0;0.0;14637.33;0.0
ZN185_HUMAN;ZNF185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RT12_HUMAN;MRPS12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OBRG_HUMAN;LEPROT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CLIC2_HUMAN;CLIC2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ACOX3_HUMAN;ACOX3;0.0;0.0;32479.137;36716.973;0.0;44941.297;54710.05;18848.193
RER1_HUMAN;RER1;0.0;82268.25;72456.71;65787.06;59504.33;49068.074;102002.38;0.0
SURF4_HUMAN;SURF4;120534.52;145246.02;115614.12;141707.33;43087.547;87154.61;280565.0;75314.53
SPTC1_HUMAN;SPTLC1;69657.88;34053.95;48146.125;71075.6;60047.77;43679.395;46266.34;0.0
SPTC2_HUMAN;SPTLC2;0.0;28692.7;0.0;0.0;0.0;0.0;0.0;0.0
OGT1_HUMAN;OGT;0.0;31561.654;28686.195;23917.055;0.0;29128.115;22264.887;0.0
LX15B_HUMAN;ALOX15B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PMM2_HUMAN;PMM2;102286.51;89357.414;95622.66;124773.125;0.0;89037.27;94308.55;0.0
TRI18_HUMAN;MID1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMGB3_HUMAN;HMGB3;0.0;84610.125;0.0;63486.71;0.0;0.0;0.0;0.0
PPM1G_HUMAN;PPM1G;0.0;46993.957;0.0;29970.676;41564.48;0.0;0.0;0.0
SHIP2_HUMAN;INPPL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3D_HUMAN;EIF3D;108760.79;102181.08;96800.414;90994.54;57606.445;75145.625;67496.57;66571.69
EIF3H_HUMAN;EIF3H;133828.64;94033.32;94133.86;113017.32;69939.6;127849.52;86847.18;142256.42
BCAT2_HUMAN;BCAT2;0.0;0.0;0.0;31340.723;0.0;39627.28;58236.086;39225.6
IPO8_HUMAN;IPO8;0.0;48200.734;0.0;29004.574;0.0;0.0;0.0;0.0
STX7_HUMAN;STX7;0.0;63933.91;66669.664;71817.97;94095.75;0.0;71881.31;0.0
MOT7_HUMAN;SLC16A6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MOT4_HUMAN;SLC16A3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19634.346
COPT1_HUMAN;SLC31A1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MRP3_HUMAN;ABCC3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MRP4_HUMAN;ABCC4;0.0;0.0;0.0;0.0;0.0;0.0;25763.506;0.0
TLR3_HUMAN;TLR3;0.0;0.0;0.0;167667.45;0.0;0.0;0.0;0.0
P4HA2_HUMAN;P4HA2;165410.73;152871.64;139087.39;202898.25;135161.81;71353.55;97954.49;102595.516
CAN5_HUMAN;CAPN5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
YKT6_HUMAN;YKT6;0.0;97454.3;82317.586;80231.68;63143.06;82412.57;117117.664;68634.95
ARPC5_HUMAN;ARPC5;86020.46;77357.586;88820.25;121341.51;138273.86;118629.12;111616.09;154457.84
RPB4_HUMAN;POLR2D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DDX3Y_HUMAN;DDX3Y;0.0;60367.555;58290.574;0.0;0.0;25687.52;39490.402;0.0
PDPK1_HUMAN;PDPK1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPSN_HUMAN;TAPBP;0.0;0.0;0.0;36325.86;53172.883;0.0;45904.13;41503.18
DHX15_HUMAN;DHX15;90779.9;96536.086;70492.34;85932.02;60322.89;87285.766;70677.28;53664.04
MCES_HUMAN;RNMT;0.0;0.0;35305.1;21706.355;33362.113;0.0;0.0;0.0
ZZEF1_HUMAN;ZZEF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ASAP2_HUMAN;ASAP2;0.0;0.0;0.0;0.0;0.0;0.0;23160.23;0.0
FLRT2_HUMAN;FLRT2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TTI1_HUMAN;TTI1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLXB1_HUMAN;PLXNB1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SI1L1_HUMAN;SIPA1L1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PRP4_HUMAN;PRPF4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SERA_HUMAN;PHGDH;174528.97;195820.61;158083.1;172178.97;113906.83;96435.33;167745.42;158342.8
NDUS4_HUMAN;NDUFS4;0.0;0.0;48799.676;47900.547;40228.266;39827.477;37061.305;38783.242
DC1L2_HUMAN;DYNC1LI2;53019.27;37939.734;57699.773;45900.94;44392.883;45519.21;53219.562;61315.79
PSMD3_HUMAN;PSMD3;103052.81;108748.31;88671.11;112977.95;82370.3;93513.3;126908.69;100037.83
PAPS1_HUMAN;PAPSS1;73649.15;68534.88;44327.31;43252.617;29654.021;48297.715;40399.715;39415.902
ZW10_HUMAN;ZW10;43701.84;28355.951;35069.73;33385.586;21378.273;0.0;39619.215;30300.87
SNUT1_HUMAN;SART1;0.0;58899.734;0.0;0.0;0.0;0.0;0.0;0.0
SPIT2_HUMAN;SPINT2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GPAA1_HUMAN;GPAA1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DAPK3_HUMAN;DAPK3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TGFI1_HUMAN;TGFB1I1;55214.59;36796.33;77559.69;53343.02;58572.73;58854.547;105467.23;92521.4
AP5Z1_HUMAN;AP5Z1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CTIF_HUMAN;CTIF;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VIP2_HUMAN;PPIP5K2;0.0;0.0;0.0;22519.613;0.0;31282.533;28849.045;0.0
M3K7_HUMAN;MAP3K7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MCA3_HUMAN;EEF1E1;0.0;49354.36;61798.57;41330.695;54461.812;40132.65;47821.51;30527.982
RIPK2_HUMAN;RIPK2;0.0;0.0;0.0;15343.411;0.0;0.0;0.0;0.0
HNRPR_HUMAN;HNRNPR;126833.74;154962.6;264072.72;86850.69;169403.39;122849.08;72281.125;116777.77
PRPF3_HUMAN;PRPF3;0.0;116539.91;0.0;101717.8;0.0;0.0;0.0;0.0
TXNL1_HUMAN;TXNL1;51244.453;44271.37;53288.59;43653.402;61209.316;45346.938;45134.44;46315.875
TPD54_HUMAN;TPD52L2;235080.12;210243.64;262643.1;209266.11;233408.9;262475.28;185097.14;203937.28
EMC8_HUMAN;EMC8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
