Protein.ID;Gene;ADSCs_c_111 MaxLFQ Intensity;ADSCs_c_1531 MaxLFQ Intensity;ADSCs_c_38 MaxLFQ Intensity;ADSCs_c_45 MaxLFQ Intensity;ADSCs_d_111 MaxLFQ Intensity;ADSCs_d_1531 MaxLFQ Intensity;ADSCs_d_38 MaxLFQ Intensity;ADSCs_d_45 MaxLFQ Intensity
GTPB1_HUMAN;GTPBP1;0.0;0.0;36077.8;29305.682;102333.195;36948.54;0.0;0.0
STXB3_HUMAN;STXBP3;43538.344;55888.23;57374.44;48900.156;42564.156;45536.156;60864.87;46197.95
ARVC_HUMAN;ARVCF;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SMAP_HUMAN;SMAP;0.0;0.0;63289.824;0.0;0.0;0.0;0.0;0.0
RB27B_HUMAN;RAB27B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP3B1_HUMAN;AP3B1;57174.043;41234.043;45912.33;45897.156;39639.84;27844.873;41545.848;0.0
LEG8_HUMAN;LGALS8;0.0;0.0;0.0;0.0;129657.82;0.0;0.0;0.0
NDUS8_HUMAN;NDUFS8;72303.7;58131.543;59830.22;81885.0;55601.902;57358.8;67042.14;78716.016
PSD11_HUMAN;PSMD11;188327.53;168694.92;172939.62;184989.84;182522.94;168406.89;179017.84;197153.06
PSD12_HUMAN;PSMD12;123161.95;119210.1;139011.61;154222.73;146710.38;168711.52;150610.44;140668.38
PSMD9_HUMAN;PSMD9;80601.78;74129.375;80617.76;73869.875;65733.805;86935.0;78405.9;78570.66
ATOX1_HUMAN;ATOX1;155959.23;124605.62;141872.31;144688.8;135916.4;151461.23;167304.94;150260.7
PGRC1_HUMAN;PGRMC1;97926.46;104391.92;120343.41;90220.16;92963.516;89527.414;84837.43;72798.305
SPT5H_HUMAN;SUPT5H;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DFFA_HUMAN;DFFA;63260.258;62457.47;51378.258;41286.527;29889.365;39201.457;40299.383;49313.062
HIP1_HUMAN;HIP1;36883.01;44707.59;33983.26;30532.508;43841.355;78973.79;52811.16;53797.977
CLIC1_HUMAN;CLIC1;573283.0;521988.38;441800.2;306684.6;485716.53;359001.22;338933.0;413108.38
TR11B_HUMAN;TNFRSF11B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3F_HUMAN;EIF3F;52597.633;76216.17;84056.12;60422.45;52986.47;80533.586;72013.29;70602.83
ODPX_HUMAN;PDHX;0.0;0.0;40234.17;0.0;40195.477;0.0;0.0;0.0
MATN2_HUMAN;MATN2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
QSOX1_HUMAN;QSOX1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ACATN_HUMAN;SLC33A1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
WASL_HUMAN;WASL;0.0;0.0;18745.58;0.0;14450.301;19897.922;0.0;0.0
IPO5_HUMAN;IPO5;275958.3;257489.1;321395.94;308263.66;307620.4;295537.06;276532.28;191254.58
SAP18_HUMAN;SAP18;0.0;0.0;18791.271;20140.814;0.0;0.0;0.0;0.0
EMAL1_HUMAN;EML1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IF2B3_HUMAN;IGF2BP3;0.0;99862.195;90566.836;89144.22;140709.66;0.0;0.0;0.0
DNM1L_HUMAN;DNM1L;99261.016;114470.25;112250.26;127832.6;103742.125;117356.72;112402.016;123494.47
RTCA_HUMAN;RTCA;52724.35;75232.336;60332.05;58097.414;52277.094;77778.24;84712.055;64018.56
P3C2A_HUMAN;PIK3C2A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GOLI4_HUMAN;GOLIM4;227577.11;220850.75;190038.69;252100.92;167905.19;200999.97;181331.84;165727.34
MANBA_HUMAN;MANBA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EXOC5_HUMAN;EXOC5;45484.84;65933.39;48818.29;54526.016;42340.707;61975.094;53702.125;47573.63
HMGN4_HUMAN;HMGN4;31149.158;31374.21;25770.555;21570.404;0.0;0.0;0.0;0.0
NDUA4_HUMAN;NDUFA4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSDE_HUMAN;PSMD14;128895.766;124915.29;138551.95;193616.38;151572.45;205553.28;207411.64;139871.97
BIN1_HUMAN;BIN1;65522.375;61509.62;48520.93;36398.484;42535.27;42516.848;32031.684;39529.12
IMA4_HUMAN;KPNA3;33788.797;31620.873;29432.072;27730.258;29056.512;50512.03;42197.61;32910.867
STK25_HUMAN;STK25;0.0;27828.818;27318.572;23943.104;20393.564;0.0;0.0;0.0
VMA5A_HUMAN;VWA5A;0.0;48793.24;0.0;0.0;0.0;0.0;0.0;0.0
PESC_HUMAN;PES1;0.0;0.0;0.0;0.0;0.0;20002.035;0.0;0.0
SDCB1_HUMAN;SDCBP;52367.164;78333.45;64091.15;37937.03;87561.336;73791.72;63907.355;107204.53
MPP10_HUMAN;MPHOSPH10;0.0;65296.613;64698.363;0.0;0.0;56298.38;0.0;0.0
NOP56_HUMAN;NOP56;58655.0;59990.117;70055.1;51972.867;66210.664;61358.26;63250.44;49611.03
DDX3X_HUMAN;DDX3X;145856.92;159286.69;173701.44;147424.64;140442.95;142767.42;148818.62;167639.2
RNT2_HUMAN;RNASET2;0.0;22648.562;0.0;0.0;0.0;0.0;0.0;0.0
CCN1_HUMAN;CCN1;37447.395;0.0;18439.26;0.0;33504.902;0.0;24964.516;35382.625
PIR_HUMAN;PIR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TRI38_HUMAN;TRIM38;0.0;0.0;0.0;0.0;15018.867;0.0;18129.94;0.0
PPP6_HUMAN;PPP6C;28809.9;0.0;39090.6;32776.125;35483.555;51242.996;55046.035;34701.277
EST2_HUMAN;CES2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MA2B1_HUMAN;MAN2B1;79160.92;76304.07;83930.72;42851.035;72554.15;42869.06;101012.28;71545.21
UBE2C_HUMAN;UBE2C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDXK_HUMAN;PDXK;225324.75;214694.81;201872.86;191472.61;178468.1;221869.0;191629.94;244952.5
SCD_HUMAN;SCD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLPP1_HUMAN;PLPP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66537.39
PLPP3_HUMAN;PLPP3;65990.836;141246.75;68139.59;49883.992;67658.71;42849.39;37579.19;64198.832
ISLR_HUMAN;ISLR;82621.7;276859.34;262442.72;175459.81;92975.62;106003.36;124831.33;107837.125
CDKA1_HUMAN;CDK2AP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DHSD_HUMAN;SDHD;0.0;0.0;0.0;0.0;0.0;0.0;36810.598;0.0
TXND9_HUMAN;TXNDC9;0.0;28038.06;0.0;0.0;0.0;0.0;0.0;0.0
DPYL4_HUMAN;DPYSL4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TRAD1_HUMAN;TRAFD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
COX7R_HUMAN;COX7A2L;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSPB6_HUMAN;HSPB6;1164416.5;727110.1;333074.88;671086.7;310982.0;301924.9;130204.2;455900.78
ACPM_HUMAN;NDUFAB1;35562.94;65453.16;62921.27;52998.48;60450.65;99640.086;103650.46;60259.254
UBFD1_HUMAN;UBFD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C56D2_HUMAN;CYB561D2;0.0;0.0;18417.092;0.0;0.0;0.0;0.0;0.0
DC1I1_HUMAN;DYNC1I1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
COPE_HUMAN;COPE;101463.055;94482.83;107101.2;124563.99;93261.83;115277.734;120773.766;89022.07
BORG1_HUMAN;CDC42EP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP3D1_HUMAN;AP3D1;52912.41;55862.18;57786.023;67277.53;71555.32;65543.31;57920.902;58384.773
CCS_HUMAN;CCS;30187.908;29847.645;0.0;0.0;18290.953;0.0;0.0;0.0
DVL2_HUMAN;DVL2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GOSR2_HUMAN;GOSR2;32628.732;33325.51;38639.105;39083.297;34261.703;28739.426;24118.736;0.0
TOR1A_HUMAN;TOR1A;0.0;41709.9;52142.14;59901.93;0.0;57227.234;56867.566;0.0
TOR1B_HUMAN;TOR1B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ADA10_HUMAN;ADAM10;45760.78;46109.57;44587.195;48972.6;32261.576;23159.273;28838.047;39585.83
EI24_HUMAN;EI24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
P5I11_HUMAN;TP53I11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PTGES_HUMAN;PTGES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ITBP1_HUMAN;ITGB1BP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
APAF_HUMAN;APAF1;0.0;0.0;0.0;0.0;0.0;18522.94;27998.21;0.0
RIOK3_HUMAN;RIOK3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IMPA2_HUMAN;IMPA2;0.0;0.0;0.0;0.0;0.0;0.0;27691.105;0.0
ACOT8_HUMAN;ACOT8;28623.148;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CDIPT_HUMAN;CDIPT;0.0;0.0;28071.672;0.0;48891.44;45161.914;36635.91;0.0
PDCD5_HUMAN;PDCD5;253041.16;229500.14;203629.12;189592.39;179741.52;205216.4;212714.48;249583.72
ANM5_HUMAN;PRMT5;0.0;0.0;15776.407;0.0;24366.307;26515.531;28882.396;0.0
NHRF1_HUMAN;SLC9A3R1;0.0;23893.785;0.0;0.0;0.0;0.0;0.0;0.0
H17B6_HUMAN;HSD17B6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TR10B_HUMAN;TNFRSF10B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPP1_HUMAN;TPP1;103573.22;145354.45;138973.92;118464.09;57638.51;114070.95;128484.734;101559.016
TCRG1_HUMAN;TCERG1;36850.2;42437.84;32540.014;27441.238;23759.63;32709.295;33577.65;32540.512
NDC80_HUMAN;NDC80;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NRP1_HUMAN;NRP1;92427.38;85027.234;98035.125;64244.574;56433.457;37825.562;49136.074;57689.363
TNPO2_HUMAN;TNPO2;0.0;0.0;0.0;24400.217;0.0;29736.19;34086.582;0.0
RPC1_HUMAN;POLR3A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RASM_HUMAN;MRAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TSN4_HUMAN;TSPAN4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSA7_HUMAN;PSMA7;80820.37;81753.66;83541.62;88696.93;86007.81;70442.88;73268.87;85935.7
SCAM3_HUMAN;SCAMP3;40336.938;0.0;27058.629;0.0;34744.82;0.0;0.0;0.0
PAHX_HUMAN;PHYH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OPLA_HUMAN;OPLAH;0.0;0.0;29572.172;0.0;0.0;0.0;0.0;0.0
IFIT3_HUMAN;IFIT3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MGST3_HUMAN;MGST3;70953.46;67791.38;60225.844;36974.67;200177.61;143491.34;130177.695;105359.04
GEMI2_HUMAN;GEMIN2;0.0;0.0;28488.371;0.0;0.0;0.0;34787.84;0.0
TX1B3_HUMAN;TAX1BP3;0.0;0.0;0.0;32779.95;51365.86;31518.393;28178.861;0.0
GIPC1_HUMAN;GIPC1;0.0;37009.97;34867.555;0.0;0.0;30911.871;37363.914;0.0
IKKB_HUMAN;IKBKB;0.0;0.0;0.0;0.0;0.0;0.0;39995.965;0.0
TIM23_HUMAN;TIMM23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HAT1_HUMAN;HAT1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UB2L6_HUMAN;UBE2L6;0.0;32791.33;25640.332;0.0;0.0;32379.832;21442.355;34728.664
CSKP_HUMAN;CASK;21915.504;0.0;39266.957;26139.93;33009.24;0.0;0.0;0.0
QCR8_HUMAN;UQCRQ;0.0;0.0;56773.418;0.0;48237.363;0.0;0.0;0.0
ML12B_HUMAN;MYL12B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
QCR10_HUMAN;UQCR11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP26C_HUMAN;VPS26C;25091.678;0.0;26614.266;0.0;33349.69;0.0;0.0;0.0
MYPT1_HUMAN;PPP1R12A;100097.73;111221.91;92346.33;93297.3;63369.523;75048.61;72795.516;75039.11
GAK_HUMAN;GAK;14431.135;0.0;19034.004;0.0;0.0;0.0;0.0;0.0
HNRDL_HUMAN;HNRNPDL;189342.64;170310.53;166134.16;190398.58;115142.93;134106.2;136250.89;130034.484
XPO1_HUMAN;XPO1;92988.195;93747.45;100377.98;99782.766;116026.44;132189.1;122001.98;85536.85
ARHGA_HUMAN;ARHGEF10;25530.055;0.0;27317.176;0.0;24913.256;0.0;20939.287;0.0
SPTN2_HUMAN;SPTBN2;91713.74;112179.94;106045.9;100157.7;98530.57;82897.09;122299.88;87006.92
SC16A_HUMAN;SEC16A;0.0;24104.494;27751.527;27850.6;0.0;29099.885;28304.492;0.0
PLXB2_HUMAN;PLXNB2;98322.05;146381.95;117128.73;107172.07;75358.58;94089.16;96413.875;98392.32
KHNYN_HUMAN;KHNYN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TCPR2_HUMAN;TECPR2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SR140_HUMAN;U2SURP;0.0;0.0;24565.234;0.0;0.0;0.0;0.0;0.0
SYNJ2_HUMAN;SYNJ2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SYNEM_HUMAN;SYNM;139477.16;95776.625;101629.38;0.0;0.0;0.0;0.0;0.0
KIF3B_HUMAN;KIF3B;0.0;0.0;0.0;0.0;0.0;0.0;20007.012;0.0
PUR4_HUMAN;PFAS;27806.408;32971.652;43122.09;43558.184;39478.477;50700.96;55678.316;36995.156
DCLK1_HUMAN;DCLK1;30691.35;98040.83;86830.7;71984.91;0.0;26124.463;33988.94;34705.277
ANR28_HUMAN;ANKRD28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARHGB_HUMAN;ARHGEF11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LSM1_HUMAN;LSM1;34412.27;29905.7;27811.082;26474.633;36989.312;40548.105;33852.414;30099.918
NPC1_HUMAN;NPC1;0.0;0.0;26800.676;29569.377;34238.71;36249.89;34738.89;0.0
DEGS1_HUMAN;DEGS1;0.0;0.0;0.0;0.0;21719.947;31937.107;26525.479;0.0
SCAM1_HUMAN;SCAMP1;0.0;0.0;22605.188;0.0;0.0;0.0;0.0;0.0
SCAM2_HUMAN;SCAMP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARC1B_HUMAN;ARPC1B;336587.5;320281.4;296824.34;350140.47;330002.7;333482.66;347106.84;327299.0
ARPC2_HUMAN;ARPC2;223128.2;245352.97;226321.98;252019.88;283977.88;323957.8;287768.12;303524.0
ARPC3_HUMAN;ARPC3;243577.31;226528.03;219778.53;191313.9;221808.67;187223.67;193244.52;220439.86
BET1_HUMAN;BET1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RPAC1_HUMAN;POLR1C;46685.29;0.0;32406.889;0.0;42235.65;0.0;0.0;0.0
PLS1_HUMAN;PLSCR1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PGRC2_HUMAN;PGRMC2;139660.94;73887.18;97550.875;92899.45;110929.805;59184.92;53021.516;90797.98
PFD6_HUMAN;PFDN6;59058.906;44151.938;44935.06;44618.156;33666.117;49377.445;35422.113;46071.48
GNPAT_HUMAN;GNPAT;0.0;0.0;0.0;0.0;0.0;16737.902;15167.606;0.0
ZN185_HUMAN;ZNF185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RT12_HUMAN;MRPS12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OBRG_HUMAN;LEPROT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CLIC2_HUMAN;CLIC2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ACOX3_HUMAN;ACOX3;25168.848;35917.043;38180.105;28456.35;30852.396;42929.79;51263.797;0.0
RER1_HUMAN;RER1;0.0;64022.29;84704.17;0.0;96926.664;102131.04;105544.85;0.0
SURF4_HUMAN;SURF4;113563.805;127620.97;143361.77;123827.695;182529.66;183107.39;205243.47;139877.31
SPTC1_HUMAN;SPTLC1;39586.844;45305.74;55188.0;44782.92;38750.535;37390.945;39824.56;38182.754
SPTC2_HUMAN;SPTLC2;13456.27;0.0;25599.215;0.0;0.0;0.0;0.0;0.0
OGT1_HUMAN;OGT;25471.086;0.0;27419.049;28977.977;0.0;20527.357;21760.715;0.0
LX15B_HUMAN;ALOX15B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PMM2_HUMAN;PMM2;83954.3;110592.13;119275.2;94027.445;93274.85;116102.12;108209.125;95200.23
TRI18_HUMAN;MID1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMGB3_HUMAN;HMGB3;0.0;56186.414;70101.79;43327.477;0.0;0.0;0.0;0.0
PPM1G_HUMAN;PPM1G;43915.625;38710.914;45230.43;0.0;37996.41;25851.572;29873.574;0.0
SHIP2_HUMAN;INPPL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3D_HUMAN;EIF3D;82005.516;94559.65;96477.09;82978.016;88807.96;81951.94;67368.09;53149.25
EIF3H_HUMAN;EIF3H;96465.49;120263.6;117678.56;108756.5;73707.91;113855.7;101220.984;74343.39
BCAT2_HUMAN;BCAT2;0.0;0.0;0.0;0.0;26680.615;61071.42;55874.715;41886.87
IPO8_HUMAN;IPO8;0.0;0.0;39339.715;36450.16;0.0;0.0;0.0;0.0
STX7_HUMAN;STX7;61122.07;51245.633;54016.043;0.0;49944.984;0.0;46909.492;55990.758
MOT7_HUMAN;SLC16A6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MOT4_HUMAN;SLC16A3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
COPT1_HUMAN;SLC31A1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MRP3_HUMAN;ABCC3;0.0;0.0;0.0;0.0;30194.725;13781.064;0.0;0.0
MRP4_HUMAN;ABCC4;0.0;25325.162;29717.785;28478.457;0.0;0.0;28333.217;0.0
TLR3_HUMAN;TLR3;0.0;0.0;93436.85;0.0;0.0;0.0;0.0;0.0
P4HA2_HUMAN;P4HA2;272726.97;257104.25;326547.1;326168.75;149195.64;104184.96;69921.99;180078.69
CAN5_HUMAN;CAPN5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
YKT6_HUMAN;YKT6;65646.33;0.0;83167.58;63475.766;103908.27;111319.5;88984.96;59274.176
ARPC5_HUMAN;ARPC5;102096.86;70838.6;84477.36;126067.97;114440.9;114730.055;100359.96;78370.29
RPB4_HUMAN;POLR2D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DDX3Y_HUMAN;DDX3Y;46938.95;58289.81;0.0;53417.312;33222.715;0.0;0.0;48156.37
PDPK1_HUMAN;PDPK1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPSN_HUMAN;TAPBP;0.0;0.0;28720.29;0.0;26035.932;0.0;0.0;0.0
DHX15_HUMAN;DHX15;68948.48;95399.195;94186.02;75717.77;82063.695;111717.7;98443.914;61108.234
MCES_HUMAN;RNMT;29682.73;23744.28;26952.172;0.0;0.0;0.0;0.0;21699.604
ZZEF1_HUMAN;ZZEF1;0.0;0.0;0.0;0.0;0.0;16280.348;0.0;0.0
ASAP2_HUMAN;ASAP2;0.0;24752.812;0.0;0.0;25223.508;0.0;0.0;27723.857
FLRT2_HUMAN;FLRT2;0.0;0.0;57933.008;64061.598;0.0;0.0;0.0;0.0
TTI1_HUMAN;TTI1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLXB1_HUMAN;PLXNB1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SI1L1_HUMAN;SIPA1L1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PRP4_HUMAN;PRPF4;0.0;29712.346;0.0;0.0;0.0;28735.701;34250.867;28818.393
SERA_HUMAN;PHGDH;157927.77;428550.3;447742.94;489361.22;87368.664;190383.42;152059.42;180534.38
NDUS4_HUMAN;NDUFS4;44277.16;41796.184;40980.055;41474.176;0.0;43053.844;45074.754;37245.215
DC1L2_HUMAN;DYNC1LI2;66319.48;63606.57;60806.55;62253.758;53093.965;66546.08;62147.805;71591.67
PSMD3_HUMAN;PSMD3;78480.79;82274.97;85790.96;90693.516;90707.4;111780.42;106543.59;88604.11
PAPS1_HUMAN;PAPSS1;40448.727;46553.5;42815.9;48284.58;31327.822;44618.816;47253.086;43903.863
ZW10_HUMAN;ZW10;40177.19;41352.9;41202.996;33804.133;37732.3;48809.03;44740.547;35521.07
SNUT1_HUMAN;SART1;0.0;42032.594;56198.535;0.0;50445.92;0.0;0.0;0.0
SPIT2_HUMAN;SPINT2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GPAA1_HUMAN;GPAA1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DAPK3_HUMAN;DAPK3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TGFI1_HUMAN;TGFB1I1;99324.31;71030.29;64347.88;91911.484;78611.09;78307.16;68824.82;92217.01
AP5Z1_HUMAN;AP5Z1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CTIF_HUMAN;CTIF;0.0;0.0;0.0;0.0;24320.205;0.0;0.0;0.0
VIP2_HUMAN;PPIP5K2;0.0;0.0;21708.889;24858.213;0.0;26548.186;0.0;0.0
M3K7_HUMAN;MAP3K7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MCA3_HUMAN;EEF1E1;47105.117;42688.355;37985.785;37562.08;49182.004;40426.508;36858.227;47246.613
RIPK2_HUMAN;RIPK2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRPR_HUMAN;HNRNPR;150062.47;161724.8;146258.28;127596.555;124917.77;111392.76;110882.234;138892.38
PRPF3_HUMAN;PRPF3;153723.84;111168.34;105572.77;0.0;107988.57;134246.45;108287.13;0.0
