Protein.ID;Gene;PDLSCs_c_12 MaxLFQ Intensity;PDLSCs_c_16 MaxLFQ Intensity;PDLSCs_c_23 MaxLFQ Intensity;PDLSCs_c_38 MaxLFQ Intensity;PDLSCs_d_12 MaxLFQ Intensity;PDLSCs_d_16 MaxLFQ Intensity;PDLSCs_d_23 MaxLFQ Intensity;PDLSCs_d_38 MaxLFQ Intensity
DDX3X_HUMAN;DDX3X;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RNT2_HUMAN;RNASET2;520185.28;331542.1;288003.22;300528.16;555992.5;384449.75;317288.5;388022.56
CCN1_HUMAN;CCN1;0.0;166842.3;151585.81;192326.61;131423.9;0.0;181904.53;0.0
PIR_HUMAN;PIR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IMA3_HUMAN;KPNA4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PPP6_HUMAN;PPP6C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MA2B1_HUMAN;MAN2B1;100599.336;164980.31;141717.1;130402.0;200652.75;113200.77;206004.33;137258.92
PDXK_HUMAN;PDXK;48137.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ISLR_HUMAN;ISLR;0.0;239186.22;236085.52;155667.72;0.0;75894.34;267210.88;0.0
DPYL4_HUMAN;DPYSL4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSPB6_HUMAN;HSPB6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBFD1_HUMAN;UBFD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
COPE_HUMAN;COPE;62996.508;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IF1AY_HUMAN;EIF1AY;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71087.5
AP3D1_HUMAN;AP3D1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DVL2_HUMAN;DVL2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TOR1B_HUMAN;TOR1B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ADA10_HUMAN;ADAM10;133213.89;169539.36;118859.945;185057.11;175585.08;106154.22;168070.34;140205.12
PDCD5_HUMAN;PDCD5;105311.79;0.0;69437.07;86279.836;0.0;87557.17;0.0;94355.14
ANM5_HUMAN;PRMT5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NHRF1_HUMAN;SLC9A3R1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPP1_HUMAN;TPP1;1173965.4;927508.56;1305575.2;776914.5;676274.4;839021.2;745910.75;1727173.8
NRP1_HUMAN;NRP1;102518.97;246959.1;167896.48;171177.55;187074.55;196723.12;274316.06;262212.62
PSA7_HUMAN;PSMA7;190614.2;150480.83;154056.97;151572.06;180127.66;171181.08;180651.02;138954.44
SCAM3_HUMAN;SCAMP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OPLA_HUMAN;OPLAH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TX1B3_HUMAN;TAX1BP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GIPC1_HUMAN;GIPC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PCD17_HUMAN;PCDH17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UB2L6_HUMAN;UBE2L6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ML12B_HUMAN;MYL12B;312540.44;0.0;0.0;0.0;0.0;283920.72;0.0;403847.2
HGS_HUMAN;HGS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP26C_HUMAN;VPS26C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MYPT1_HUMAN;PPP1R12A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRDL_HUMAN;HNRNPDL;66102.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0
XPO1_HUMAN;XPO1;48218.082;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLXB2_HUMAN;PLXNB2;58871.402;127249.445;106783.195;102422.19;130029.57;55350.48;133085.05;69590.01
SR140_HUMAN;U2SURP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PUR4_HUMAN;PFAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ATS3_HUMAN;ADAMTS3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANR28_HUMAN;ANKRD28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LSM1_HUMAN;LSM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NPC1_HUMAN;NPC1;0.0;0.0;72361.01;0.0;0.0;0.0;0.0;0.0
ARC1B_HUMAN;ARPC1B;186479.95;122061.88;133865.05;115986.91;144807.5;145003.72;156055.88;144781.94
ARPC2_HUMAN;ARPC2;204639.25;102733.29;130915.55;99151.61;160528.47;131339.56;0.0;168076.73
ARPC3_HUMAN;ARPC3;129926.61;0.0;0.0;0.0;0.0;63022.863;0.0;95028.11
PGRC2_HUMAN;PGRMC2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PFD6_HUMAN;PFDN6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LAMA5_HUMAN;LAMA5;71374.34;122059.07;0.0;0.0;0.0;0.0;0.0;0.0
ZN185_HUMAN;ZNF185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MATN3_HUMAN;MATN3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PMM2_HUMAN;PMM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMGB3_HUMAN;HMGB3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3D_HUMAN;EIF3D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3H_HUMAN;EIF3H;40897.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NCAM2_HUMAN;NCAM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STX7_HUMAN;STX7;101227.74;0.0;67817.79;0.0;0.0;90771.36;0.0;82042.91
P4HA2_HUMAN;P4HA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
YKT6_HUMAN;YKT6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARPC5_HUMAN;ARPC5;200028.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DHX15_HUMAN;DHX15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ASAP2_HUMAN;ASAP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FLRT2_HUMAN;FLRT2;0.0;112993.18;84349.61;83481.38;0.0;0.0;109970.78;0.0
SERA_HUMAN;PHGDH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ADA12_HUMAN;ADAM12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DC1L2_HUMAN;DYNC1LI2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSMD3_HUMAN;PSMD3;44059.117;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B4GT5_HUMAN;B4GALT5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TGFI1_HUMAN;TGFB1I1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MCA3_HUMAN;EEF1E1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRPR_HUMAN;HNRNPR;83767.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TXNL1_HUMAN;TXNL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPD54_HUMAN;TPD52L2;121899.836;53027.242;0.0;0.0;0.0;131336.19;0.0;103858.875
PPIH_HUMAN;PPIH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HTRA2_HUMAN;HTRA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARK72_HUMAN;AKR7A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
E41L2_HUMAN;EPB41L2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TGON2_HUMAN;TGOLN2;0.0;121617.99;105913.51;102387.086;134067.48;0.0;148242.39;0.0
LTOR5_HUMAN;LAMTOR5;108767.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B4GA1_HUMAN;B4GAT1;144264.7;152754.31;106406.9;164637.53;193095.53;155406.17;189322.36;255424.45
TNF12_HUMAN;TNFSF12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SGCE_HUMAN;SGCE;69003.79;119676.67;115746.52;101231.766;93855.21;0.0;0.0;69980.15
CAH12_HUMAN;CA12;88642.61;146319.88;186897.27;144511.06;111170.336;0.0;148328.2;98380.586
DENR_HUMAN;DENR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNPH1_HUMAN;DNPH1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPPC3_HUMAN;TRAPPC3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLRG1_HUMAN;PLRG1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GET3_HUMAN;GET3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BUB3_HUMAN;BUB3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ACTN4_HUMAN;ACTN4;1071351.0;539171.75;857531.7;395102.72;549665.3;967125.5;681379.06;990043.44
AP1G1_HUMAN;AP1G1;34053.16;0.0;0.0;0.0;0.0;31175.328;0.0;0.0
SYNC_HUMAN;NARS1;56141.035;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CPSF5_HUMAN;NUDT21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LANC1_HUMAN;LANCL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STRN_HUMAN;STRN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AKAP8_HUMAN;AKAP8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANGL7_HUMAN;ANGPTL7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NRDC_HUMAN;NRDC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CALU_HUMAN;CALU;214526.4;472198.7;593918.5;231817.22;515506.12;299333.38;604403.75;199515.36
EDIL3_HUMAN;EDIL3;110616.09;330710.8;506713.4;175258.55;0.0;0.0;168789.44;114676.13
SAHH2_HUMAN;AHCYL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TLL1_HUMAN;TLL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VEGFD_HUMAN;VEGFD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDE6D_HUMAN;PDE6D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AK1BA_HUMAN;AKR1B10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GMFG_HUMAN;GMFG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PCDH7_HUMAN;PCDH7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
JIP4_HUMAN;SPAG9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SUSD5_HUMAN;SUSD5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PCDGC_HUMAN;PCDHGA12;0.0;76656.27;0.0;88580.52;0.0;0.0;0.0;0.0
GSDME_HUMAN;GSDME;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NRP2_HUMAN;NRP2;67940.36;145434.92;67844.17;119960.87;165391.92;78659.92;0.0;104486.02
ACSL4_HUMAN;ACSL4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNX3_HUMAN;SNX3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71015.21
VINEX_HUMAN;SORBS3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRPQ_HUMAN;SYNCRIP;236953.94;0.0;215155.47;0.0;0.0;86397.234;0.0;67785.38
TPST1_HUMAN;TPST1;0.0;0.0;0.0;74550.266;0.0;0.0;0.0;0.0
GREM1_HUMAN;GREM1;364068.28;363160.94;772348.2;333004.06;267754.94;84653.97;270736.22;82231.37
PLOD3_HUMAN;PLOD3;242502.86;280083.38;276499.8;262475.12;270624.3;166712.4;244907.5;189927.44
DIAP1_HUMAN;DIAPH1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLIN3_HUMAN;PLIN3;148577.61;0.0;0.0;0.0;0.0;82982.94;0.0;109260.484
SRPX2_HUMAN;SRPX2;0.0;119568.6;0.0;0.0;200220.55;90920.03;304919.8;102261.59
UGDH_HUMAN;UGDH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LPXN_HUMAN;LPXN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CTND1_HUMAN;CTNND1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNX2_HUMAN;SNX2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
USO1_HUMAN;USO1;57927.082;0.0;0.0;0.0;0.0;42123.145;0.0;43382.33
TOM1_HUMAN;TOM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
H2B1K_HUMAN;H2BC12;120238.48;0.0;0.0;0.0;0.0;160842.72;0.0;95434.516
CCD22_HUMAN;CCDC22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EDF1_HUMAN;EDF1;51160.953;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNJA2_HUMAN;DNAJA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CUTA_HUMAN;CUTA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PFD1_HUMAN;PFDN1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
XYLK_HUMAN;FAM20B;0.0;95939.98;0.0;158878.62;0.0;0.0;0.0;0.0
WDR1_HUMAN;WDR1;220326.77;172708.28;157312.39;115622.96;152253.5;160694.92;216267.08;270505.9
SLIT3_HUMAN;SLIT3;0.0;0.0;185366.56;0.0;0.0;0.0;0.0;0.0
MEGF6_HUMAN;MEGF6;0.0;73436.59;0.0;0.0;0.0;0.0;0.0;0.0
ROCK2_HUMAN;ROCK2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CPNE3_HUMAN;CPNE3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ICOSL_HUMAN;ICOSLG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DJC13_HUMAN;DNAJC13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GGCT_HUMAN;GGCT;0.0;0.0;0.0;0.0;0.0;70127.29;0.0;0.0
SEM7A_HUMAN;SEMA7A;0.0;119018.34;74355.03;110752.79;139140.25;88142.234;133168.67;90810.086
CILP1_HUMAN;CILP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDCD6_HUMAN;PDCD6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TBCA_HUMAN;TBCA;286461.34;160561.38;174107.28;143147.81;170707.38;233688.94;243461.4;271314.47
VATG1_HUMAN;ATP6V1G1;46281.477;0.0;52225.83;0.0;0.0;0.0;0.0;0.0
H2AY_HUMAN;MACROH2A1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SH3L1_HUMAN;SH3BGRL;200121.02;148360.94;198847.19;100908.2;172798.98;161880.23;193697.5;193054.39
FLNB_HUMAN;FLNB;113652.07;157795.3;107064.06;0.0;0.0;122206.88;0.0;113909.414
NDUS6_HUMAN;NDUFS6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CISY_HUMAN;CS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC22B_HUMAN;SEC22B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PR40A_HUMAN;PRPF40A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MTX2_HUMAN;MTX2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP26A_HUMAN;VPS26A;125712.98;0.0;119989.7;0.0;0.0;99501.35;0.0;103100.48
CRLF1_HUMAN;CRLF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GPC4_HUMAN;GPC4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CLN5_HUMAN;CLN5;0.0;290329.5;232970.08;255340.84;265552.75;235093.02;351507.94;425128.3
CLD11_HUMAN;CLDN11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TNR21_HUMAN;TNFRSF21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BAF_HUMAN;BANF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SF3B1_HUMAN;SF3B1;3505751.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSDE1_HUMAN;CSDE1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LYPA1_HUMAN;LYPLA1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CREG1_HUMAN;CREG1;0.0;0.0;355510.84;0.0;0.0;0.0;217408.9;0.0
SPB7_HUMAN;SERPINB7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
U520_HUMAN;SNRNP200;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TIPRL_HUMAN;TIPRL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
XRP2_HUMAN;RP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CRTAP_HUMAN;CRTAP;67282.76;107376.57;75826.77;113451.29;127884.73;0.0;152831.73;47667.59
B3GL1_HUMAN;B3GALNT1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PALM_HUMAN;PALM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3G_HUMAN;EIF3G;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CBR3_HUMAN;CBR3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IDHC_HUMAN;IDH1;395246.16;134428.14;133885.66;130133.0;226074.95;246094.02;184881.36;366188.75
ATRN_HUMAN;ATRN;123914.5;235788.36;170797.86;211297.45;258734.08;138750.12;212092.83;152939.58
RBBP9_HUMAN;RBBP9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STAM2_HUMAN;STAM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PRAF3_HUMAN;ARL6IP5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SPF27_HUMAN;BCAS2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNJC8_HUMAN;DNAJC8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TSN9_HUMAN;TSPAN9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FLOT1_HUMAN;FLOT1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GLRX3_HUMAN;GLRX3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
S14L2_HUMAN;SEC14L2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STC2_HUMAN;STC2;97650.94;189091.45;307500.97;197678.44;258277.25;99682.875;327637.72;175731.75
PDE5A_HUMAN;PDE5A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CCN5_HUMAN;CCN5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SRP72_HUMAN;SRP72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DDAH1_HUMAN;DDAH1;226616.97;145525.5;182836.38;116635.79;161404.4;237118.77;148862.73;251331.69
B3GA3_HUMAN;B3GAT3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ECM2_HUMAN;ECM2;0.0;0.0;0.0;0.0;0.0;0.0;119570.55;0.0
AL1A2_HUMAN;ALDH1A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STK10_HUMAN;STK10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SLIT2_HUMAN;SLIT2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TOM70_HUMAN;TOMM70;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC24D_HUMAN;SEC24D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NFASC_HUMAN;NFASC;0.0;106143.82;61579.555;80569.36;0.0;0.0;0.0;0.0
SRBS2_HUMAN;SORBS2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBXN7_HUMAN;UBXN7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLPHP_HUMAN;PLPBP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DKK1_HUMAN;DKK1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENDD1_HUMAN;ENDOD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP2A2_HUMAN;AP2A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC31A_HUMAN;SEC31A;86693.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTN1_HUMAN;CLSTN1;325094.62;433070.47;380737.34;381702.5;434234.47;320838.38;399606.2;446571.75
PRS23_HUMAN;PRSS23;80187.08;0.0;0.0;107431.25;0.0;74097.4;0.0;93031.836
GBRAP_HUMAN;GABARAP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UNC5C_HUMAN;UNC5C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RTN3_HUMAN;RTN3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
