Protein.ID;Gene;DPSCs_c_12 MaxLFQ Intensity;DPSCs_c_16 MaxLFQ Intensity;DPSCs_c_23 MaxLFQ Intensity;DPSCs_c_38 MaxLFQ Intensity;DPSCs_d_12 MaxLFQ Intensity;DPSCs_d_16 MaxLFQ Intensity;DPSCs_d_23 MaxLFQ Intensity;DPSCs_d_38 MaxLFQ Intensity
DDX3X_HUMAN;DDX3X;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RNT2_HUMAN;RNASET2;397835.5;406114.6;317097.47;317915.75;492779.16;331549.88;304059.16;258838.75
CCN1_HUMAN;CCN1;112289.01;135082.92;99126.18;127890.61;0.0;0.0;0.0;0.0
PIR_HUMAN;PIR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IMA3_HUMAN;KPNA4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PPP6_HUMAN;PPP6C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MA2B1_HUMAN;MAN2B1;100412.58;173156.62;106804.516;98719.836;211448.31;181124.88;162764.05;122612.305
PDXK_HUMAN;PDXK;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ISLR_HUMAN;ISLR;148625.3;0.0;0.0;129363.516;304053.47;0.0;0.0;142109.11
DPYL4_HUMAN;DPYSL4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSPB6_HUMAN;HSPB6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBFD1_HUMAN;UBFD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
COPE_HUMAN;COPE;0.0;0.0;65646.53;0.0;0.0;0.0;0.0;0.0
IF1AY_HUMAN;EIF1AY;0.0;79374.52;0.0;0.0;0.0;95055.76;0.0;0.0
AP3D1_HUMAN;AP3D1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DVL2_HUMAN;DVL2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TOR1B_HUMAN;TOR1B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ADA10_HUMAN;ADAM10;136188.66;144260.31;118954.8;100760.875;211872.05;104092.305;153184.6;91504.125
PDCD5_HUMAN;PDCD5;89383.73;68573.73;107435.54;0.0;0.0;83153.36;0.0;66353.61
ANM5_HUMAN;PRMT5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NHRF1_HUMAN;SLC9A3R1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPP1_HUMAN;TPP1;1325369.8;1299999.6;1361778.8;588563.94;1242312.2;1423316.5;1206741.6;1054278.8
NRP1_HUMAN;NRP1;144128.83;204627.62;212795.31;194082.67;217576.9;203879.19;285725.44;157708.55
PSA7_HUMAN;PSMA7;150642.53;183772.33;208881.5;134421.0;183777.42;186826.27;154209.36;192795.52
SCAM3_HUMAN;SCAMP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OPLA_HUMAN;OPLAH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TX1B3_HUMAN;TAX1BP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GIPC1_HUMAN;GIPC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PCD17_HUMAN;PCDH17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UB2L6_HUMAN;UBE2L6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ML12B_HUMAN;MYL12B;236699.84;186990.48;166365.88;0.0;0.0;381424.3;198828.89;249664.62
HGS_HUMAN;HGS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP26C_HUMAN;VPS26C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MYPT1_HUMAN;PPP1R12A;0.0;0.0;52536.74;0.0;0.0;0.0;0.0;0.0
HNRDL_HUMAN;HNRNPDL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
XPO1_HUMAN;XPO1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLXB2_HUMAN;PLXNB2;85899.04;78467.76;77528.35;65363.207;118544.766;62587.45;0.0;0.0
SR140_HUMAN;U2SURP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PUR4_HUMAN;PFAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ATS3_HUMAN;ADAMTS3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANR28_HUMAN;ANKRD28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LSM1_HUMAN;LSM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NPC1_HUMAN;NPC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARC1B_HUMAN;ARPC1B;177002.27;116705.51;194547.69;80241.33;155601.72;167811.9;125530.31;146758.22
ARPC2_HUMAN;ARPC2;155640.72;130040.07;168635.66;69552.23;141238.08;181148.42;143408.8;151404.62
ARPC3_HUMAN;ARPC3;0.0;0.0;110397.58;48697.62;0.0;105112.03;0.0;0.0
PGRC2_HUMAN;PGRMC2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PFD6_HUMAN;PFDN6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LAMA5_HUMAN;LAMA5;0.0;109811.625;64560.844;108877.25;0.0;88281.24;0.0;92155.37
ZN185_HUMAN;ZNF185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MATN3_HUMAN;MATN3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PMM2_HUMAN;PMM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMGB3_HUMAN;HMGB3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3D_HUMAN;EIF3D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3H_HUMAN;EIF3H;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NCAM2_HUMAN;NCAM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STX7_HUMAN;STX7;79988.3;66925.74;83154.62;0.0;0.0;93963.89;0.0;63205.855
P4HA2_HUMAN;P4HA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
YKT6_HUMAN;YKT6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARPC5_HUMAN;ARPC5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205603.45
DHX15_HUMAN;DHX15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ASAP2_HUMAN;ASAP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FLRT2_HUMAN;FLRT2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SERA_HUMAN;PHGDH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ADA12_HUMAN;ADAM12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DC1L2_HUMAN;DYNC1LI2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSMD3_HUMAN;PSMD3;0.0;0.0;45175.34;0.0;0.0;0.0;0.0;0.0
B4GT5_HUMAN;B4GALT5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TGFI1_HUMAN;TGFB1I1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MCA3_HUMAN;EEF1E1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRPR_HUMAN;HNRNPR;67008.53;0.0;63375.164;0.0;0.0;0.0;0.0;0.0
TXNL1_HUMAN;TXNL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPD54_HUMAN;TPD52L2;83266.74;0.0;85824.36;0.0;0.0;135479.39;0.0;103067.69
PPIH_HUMAN;PPIH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HTRA2_HUMAN;HTRA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARK72_HUMAN;AKR7A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
E41L2_HUMAN;EPB41L2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TGON2_HUMAN;TGOLN2;59641.777;89161.9;66110.99;70617.51;134773.16;96058.73;104578.77;49564.703
LTOR5_HUMAN;LAMTOR5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B4GA1_HUMAN;B4GAT1;117839.56;299661.44;138292.3;106995.234;167101.75;327325.44;192857.28;167160.98
TNF12_HUMAN;TNFSF12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SGCE_HUMAN;SGCE;0.0;69700.04;0.0;0.0;0.0;75910.12;0.0;51867.79
CAH12_HUMAN;CA12;101478.836;0.0;123963.88;0.0;140738.7;0.0;0.0;90234.734
DENR_HUMAN;DENR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNPH1_HUMAN;DNPH1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPPC3_HUMAN;TRAPPC3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLRG1_HUMAN;PLRG1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GET3_HUMAN;GET3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BUB3_HUMAN;BUB3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ACTN4_HUMAN;ACTN4;1022015.6;1322916.9;1329620.0;563595.56;665918.56;1563097.6;1065610.5;1436157.8
AP1G1_HUMAN;AP1G1;0.0;0.0;0.0;0.0;0.0;45676.598;0.0;46075.254
SYNC_HUMAN;NARS1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CPSF5_HUMAN;NUDT21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LANC1_HUMAN;LANCL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STRN_HUMAN;STRN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AKAP8_HUMAN;AKAP8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANGL7_HUMAN;ANGPTL7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NRDC_HUMAN;NRDC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CALU_HUMAN;CALU;426907.78;232566.66;164504.34;407944.34;334652.94;129061.7;127953.65;356176.2
EDIL3_HUMAN;EDIL3;286825.53;592157.06;492201.34;209432.14;0.0;242265.73;109220.85;85604.766
SAHH2_HUMAN;AHCYL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TLL1_HUMAN;TLL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VEGFD_HUMAN;VEGFD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDE6D_HUMAN;PDE6D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AK1BA_HUMAN;AKR1B10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GMFG_HUMAN;GMFG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PCDH7_HUMAN;PCDH7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
JIP4_HUMAN;SPAG9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SUSD5_HUMAN;SUSD5;0.0;150576.72;0.0;0.0;0.0;137159.31;0.0;0.0
PCDGC_HUMAN;PCDHGA12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GSDME_HUMAN;GSDME;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NRP2_HUMAN;NRP2;84069.17;92250.74;63194.406;0.0;131053.11;117675.8;123865.91;60927.574
ACSL4_HUMAN;ACSL4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNX3_HUMAN;SNX3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VINEX_HUMAN;SORBS3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRPQ_HUMAN;SYNCRIP;316892.8;215172.56;312697.38;0.0;0.0;242183.81;0.0;313771.66
TPST1_HUMAN;TPST1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GREM1_HUMAN;GREM1;690495.44;632195.94;590957.8;307573.03;153917.56;164975.0;116866.16;0.0
PLOD3_HUMAN;PLOD3;214830.45;325696.9;200142.61;161872.25;178403.42;170109.03;208555.31;195604.62
DIAP1_HUMAN;DIAPH1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLIN3_HUMAN;PLIN3;139586.94;80920.84;142802.28;0.0;0.0;126866.64;0.0;134441.08
SRPX2_HUMAN;SRPX2;0.0;0.0;0.0;0.0;180616.64;98578.9;273421.53;316448.47
UGDH_HUMAN;UGDH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LPXN_HUMAN;LPXN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CTND1_HUMAN;CTNND1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNX2_HUMAN;SNX2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
USO1_HUMAN;USO1;47778.027;55850.92;79547.99;0.0;0.0;56421.56;0.0;62781.35
TOM1_HUMAN;TOM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
H2B1K_HUMAN;H2BC12;0.0;85861.82;97373.22;0.0;0.0;106383.03;0.0;208621.61
CCD22_HUMAN;CCDC22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EDF1_HUMAN;EDF1;49621.387;0.0;47273.473;0.0;0.0;0.0;0.0;0.0
DNJA2_HUMAN;DNAJA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CUTA_HUMAN;CUTA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PFD1_HUMAN;PFDN1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
XYLK_HUMAN;FAM20B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
WDR1_HUMAN;WDR1;213683.58;230068.84;186100.2;109936.75;161681.2;281427.94;147399.25;135882.3
SLIT3_HUMAN;SLIT3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MEGF6_HUMAN;MEGF6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ROCK2_HUMAN;ROCK2;0.0;0.0;171941.3;0.0;0.0;0.0;0.0;0.0
CPNE3_HUMAN;CPNE3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ICOSL_HUMAN;ICOSLG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DJC13_HUMAN;DNAJC13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GGCT_HUMAN;GGCT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52412.812
SEM7A_HUMAN;SEMA7A;84560.99;103759.08;71671.13;108688.36;0.0;116885.984;165420.58;144615.94
CILP1_HUMAN;CILP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDCD6_HUMAN;PDCD6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TBCA_HUMAN;TBCA;239240.78;237809.89;305718.25;179194.39;227541.92;362817.78;212106.12;289093.4
VATG1_HUMAN;ATP6V1G1;0.0;0.0;46482.78;0.0;0.0;0.0;0.0;41146.137
H2AY_HUMAN;MACROH2A1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SH3L1_HUMAN;SH3BGRL;200411.6;224813.4;240532.95;177965.58;210123.36;286953.72;279699.94;245828.67
FLNB_HUMAN;FLNB;97486.78;152907.62;167101.62;90224.68;0.0;186664.52;145740.52;153409.7
NDUS6_HUMAN;NDUFS6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CISY_HUMAN;CS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC22B_HUMAN;SEC22B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PR40A_HUMAN;PRPF40A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MTX2_HUMAN;MTX2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP26A_HUMAN;VPS26A;112851.516;120325.32;138906.77;80627.414;0.0;136312.17;126355.69;116831.67
CRLF1_HUMAN;CRLF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99495.68
GPC4_HUMAN;GPC4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CLN5_HUMAN;CLN5;0.0;371732.0;263758.38;193545.1;224418.28;441201.56;509761.97;279874.22
CLD11_HUMAN;CLDN11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TNR21_HUMAN;TNFRSF21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BAF_HUMAN;BANF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SF3B1_HUMAN;SF3B1;0.0;0.0;2554691.2;0.0;0.0;0.0;0.0;0.0
CSDE1_HUMAN;CSDE1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LYPA1_HUMAN;LYPLA1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CREG1_HUMAN;CREG1;0.0;0.0;189889.47;0.0;0.0;0.0;0.0;0.0
SPB7_HUMAN;SERPINB7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
U520_HUMAN;SNRNP200;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TIPRL_HUMAN;TIPRL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
XRP2_HUMAN;RP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CRTAP_HUMAN;CRTAP;80648.31;0.0;48553.637;0.0;0.0;44057.35;0.0;0.0
B3GL1_HUMAN;B3GALNT1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PALM_HUMAN;PALM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3G_HUMAN;EIF3G;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CBR3_HUMAN;CBR3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IDHC_HUMAN;IDH1;266932.62;158637.55;260177.36;0.0;237127.86;204803.02;158625.61;235391.14
ATRN_HUMAN;ATRN;152203.11;178801.2;140421.23;146151.1;279650.94;182308.52;247336.62;142939.6
RBBP9_HUMAN;RBBP9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STAM2_HUMAN;STAM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PRAF3_HUMAN;ARL6IP5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SPF27_HUMAN;BCAS2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNJC8_HUMAN;DNAJC8;0.0;0.0;498549.5;0.0;0.0;0.0;0.0;0.0
TSN9_HUMAN;TSPAN9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FLOT1_HUMAN;FLOT1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GLRX3_HUMAN;GLRX3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
S14L2_HUMAN;SEC14L2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STC2_HUMAN;STC2;180087.8;444666.28;273777.66;339930.94;305956.0;233944.56;0.0;224601.52
PDE5A_HUMAN;PDE5A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CCN5_HUMAN;CCN5;85288.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SRP72_HUMAN;SRP72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DDAH1_HUMAN;DDAH1;165338.98;165189.17;204346.22;103245.59;203159.95;251173.11;155443.52;164041.55
B3GA3_HUMAN;B3GAT3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ECM2_HUMAN;ECM2;0.0;0.0;0.0;96225.94;0.0;0.0;0.0;0.0
AL1A2_HUMAN;ALDH1A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STK10_HUMAN;STK10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SLIT2_HUMAN;SLIT2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TOM70_HUMAN;TOMM70;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC24D_HUMAN;SEC24D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NFASC_HUMAN;NFASC;57204.676;102583.195;89677.8;68756.09;0.0;101538.47;91322.97;0.0
SRBS2_HUMAN;SORBS2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBXN7_HUMAN;UBXN7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLPHP_HUMAN;PLPBP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DKK1_HUMAN;DKK1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENDD1_HUMAN;ENDOD1;0.0;54273.566;0.0;0.0;0.0;99672.98;0.0;60429.516
AP2A2_HUMAN;AP2A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC31A_HUMAN;SEC31A;73395.96;0.0;68872.89;0.0;0.0;68726.94;0.0;71408.69
CSTN1_HUMAN;CLSTN1;344641.7;487684.22;365070.1;290218.06;541797.4;454533.3;450970.25;315540.7
PRS23_HUMAN;PRSS23;0.0;0.0;75328.12;0.0;0.0;0.0;0.0;0.0
GBRAP_HUMAN;GABARAP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UNC5C_HUMAN;UNC5C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RTN3_HUMAN;RTN3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
