Protein.ID;Gene;Umb_c_1002 MaxLFQ Intensity;Umb_c_11 MaxLFQ Intensity;Umb_c_203 MaxLFQ Intensity;Umb_c_62 MaxLFQ Intensity;Umb_d_1002 MaxLFQ Intensity;Umb_d_11 MaxLFQ Intensity;Umb_d_203 MaxLFQ Intensity;Umb_d_62 MaxLFQ Intensity
RNT2_HUMAN;RNASET2;124225.6;237533.52;188559.83;141181.08;202121.28;143495.69;227754.92;185122.77
CCN1_HUMAN;CCN1;0.0;0.0;97826.89;0.0;60933.69;0.0;75877.43;0.0
PIR_HUMAN;PIR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IMA3_HUMAN;KPNA4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PPP6_HUMAN;PPP6C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MA2B1_HUMAN;MAN2B1;85617.94;185613.38;114921.02;144289.64;159588.44;188232.95;136209.12;155938.77
PDXK_HUMAN;PDXK;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ISLR_HUMAN;ISLR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DPYL4_HUMAN;DPYSL4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSPB6_HUMAN;HSPB6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBFD1_HUMAN;UBFD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
COPE_HUMAN;COPE;54995.902;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IF1AY_HUMAN;EIF1AY;83428.414;0.0;97795.43;105717.56;0.0;0.0;82054.22;65858.2
AP3D1_HUMAN;AP3D1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DVL2_HUMAN;DVL2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TOR1B_HUMAN;TOR1B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ADA10_HUMAN;ADAM10;92787.91;99731.8;92128.96;75186.4;95920.67;95547.625;64010.312;83801.87
PDCD5_HUMAN;PDCD5;0.0;0.0;0.0;75356.55;0.0;0.0;0.0;84790.555
ANM5_HUMAN;PRMT5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NHRF1_HUMAN;SLC9A3R1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPP1_HUMAN;TPP1;660726.5;526245.44;254576.3;566905.44;677073.3;497192.12;465708.28;749316.1
NRP1_HUMAN;NRP1;158284.23;237971.05;195137.7;215509.5;112391.13;192593.61;126184.7;109942.9
PSA7_HUMAN;PSMA7;195908.64;208309.17;204413.94;166593.17;109829.59;158567.72;164743.94;164424.02
SCAM3_HUMAN;SCAMP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OPLA_HUMAN;OPLAH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TX1B3_HUMAN;TAX1BP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GIPC1_HUMAN;GIPC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PCD17_HUMAN;PCDH17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UB2L6_HUMAN;UBE2L6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ML12B_HUMAN;MYL12B;631515.94;0.0;74668.16;232106.02;0.0;0.0;0.0;401317.1
HGS_HUMAN;HGS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP26C_HUMAN;VPS26C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MYPT1_HUMAN;PPP1R12A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRDL_HUMAN;HNRNPDL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
XPO1_HUMAN;XPO1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLXB2_HUMAN;PLXNB2;76932.75;66710.336;62990.58;0.0;92232.22;85442.68;62702.105;83109.48
SR140_HUMAN;U2SURP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PUR4_HUMAN;PFAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ATS3_HUMAN;ADAMTS3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANR28_HUMAN;ANKRD28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LSM1_HUMAN;LSM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NPC1_HUMAN;NPC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARC1B_HUMAN;ARPC1B;177965.31;154077.4;148785.56;169164.7;81255.484;167583.77;201823.92;133817.27
ARPC2_HUMAN;ARPC2;175247.36;149621.66;143903.11;150607.23;0.0;141891.73;202313.8;159970.36
ARPC3_HUMAN;ARPC3;64424.33;0.0;91426.94;0.0;0.0;0.0;107866.82;76780.22
PGRC2_HUMAN;PGRMC2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PFD6_HUMAN;PFDN6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LAMA5_HUMAN;LAMA5;0.0;91845.02;55025.34;0.0;0.0;0.0;0.0;0.0
ZN185_HUMAN;ZNF185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MATN3_HUMAN;MATN3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PMM2_HUMAN;PMM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMGB3_HUMAN;HMGB3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3D_HUMAN;EIF3D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3H_HUMAN;EIF3H;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NCAM2_HUMAN;NCAM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STX7_HUMAN;STX7;83117.09;0.0;0.0;79249.09;0.0;65538.195;62063.215;86227.61
P4HA2_HUMAN;P4HA2;61243.492;59579.547;0.0;0.0;0.0;53392.91;38121.836;58320.53
YKT6_HUMAN;YKT6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARPC5_HUMAN;ARPC5;0.0;0.0;0.0;0.0;0.0;0.0;240359.25;0.0
DHX15_HUMAN;DHX15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ASAP2_HUMAN;ASAP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FLRT2_HUMAN;FLRT2;158751.89;68409.5;58832.734;80906.56;88564.44;80205.08;66326.67;97305.01
SERA_HUMAN;PHGDH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ADA12_HUMAN;ADAM12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DC1L2_HUMAN;DYNC1LI2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSMD3_HUMAN;PSMD3;53098.64;69217.01;0.0;0.0;0.0;0.0;0.0;39917.44
B4GT5_HUMAN;B4GALT5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TGFI1_HUMAN;TGFB1I1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MCA3_HUMAN;EEF1E1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRPR_HUMAN;HNRNPR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TXNL1_HUMAN;TXNL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPD54_HUMAN;TPD52L2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;111699.42
PPIH_HUMAN;PPIH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HTRA2_HUMAN;HTRA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARK72_HUMAN;AKR7A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
E41L2_HUMAN;EPB41L2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TGON2_HUMAN;TGOLN2;62416.19;92422.47;79989.805;94197.766;91345.97;101894.0;67943.92;91274.83
LTOR5_HUMAN;LAMTOR5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B4GA1_HUMAN;B4GAT1;79172.83;56802.87;0.0;84554.52;75799.945;55703.734;0.0;98824.35
TNF12_HUMAN;TNFSF12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SGCE_HUMAN;SGCE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CAH12_HUMAN;CA12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;96533.35
DENR_HUMAN;DENR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNPH1_HUMAN;DNPH1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPPC3_HUMAN;TRAPPC3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLRG1_HUMAN;PLRG1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GET3_HUMAN;GET3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BUB3_HUMAN;BUB3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ACTN4_HUMAN;ACTN4;1000782.2;792619.5;726874.06;861060.44;369862.62;779087.7;931907.1;888336.94
AP1G1_HUMAN;AP1G1;50770.016;0.0;0.0;36957.758;0.0;0.0;0.0;30370.787
SYNC_HUMAN;NARS1;70045.89;0.0;0.0;36685.746;0.0;0.0;0.0;0.0
CPSF5_HUMAN;NUDT21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LANC1_HUMAN;LANCL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STRN_HUMAN;STRN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AKAP8_HUMAN;AKAP8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANGL7_HUMAN;ANGPTL7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NRDC_HUMAN;NRDC;0.0;0.0;0.0;45545.996;0.0;0.0;0.0;0.0
CALU_HUMAN;CALU;709982.4;1385097.0;714976.94;802142.2;567824.3;1001179.8;582714.75;675904.1
EDIL3_HUMAN;EDIL3;255428.02;468839.47;191297.6;304524.3;97632.63;195129.77;89331.945;180409.3
SAHH2_HUMAN;AHCYL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TLL1_HUMAN;TLL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VEGFD_HUMAN;VEGFD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDE6D_HUMAN;PDE6D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AK1BA_HUMAN;AKR1B10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GMFG_HUMAN;GMFG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PCDH7_HUMAN;PCDH7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
JIP4_HUMAN;SPAG9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SUSD5_HUMAN;SUSD5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PCDGC_HUMAN;PCDHGA12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GSDME_HUMAN;GSDME;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NRP2_HUMAN;NRP2;163310.4;226751.36;143601.88;173228.72;113917.234;150821.97;119462.88;116357.17
ACSL4_HUMAN;ACSL4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNX3_HUMAN;SNX3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VINEX_HUMAN;SORBS3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRPQ_HUMAN;SYNCRIP;235967.38;0.0;0.0;51934.473;0.0;0.0;0.0;241388.77
TPST1_HUMAN;TPST1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GREM1_HUMAN;GREM1;138322.12;0.0;274079.38;179343.78;0.0;0.0;121681.766;95183.32
PLOD3_HUMAN;PLOD3;151032.48;248519.27;332937.03;197047.92;157217.61;287687.44;342622.25;234794.27
DIAP1_HUMAN;DIAPH1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLIN3_HUMAN;PLIN3;85898.87;0.0;0.0;66342.83;0.0;0.0;87564.34;126534.42
SRPX2_HUMAN;SRPX2;0.0;94643.05;83670.984;314845.34;225247.48;275923.62;186192.1;400222.2
UGDH_HUMAN;UGDH;75242.305;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LPXN_HUMAN;LPXN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CTND1_HUMAN;CTNND1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNX2_HUMAN;SNX2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
USO1_HUMAN;USO1;70197.4;47759.34;0.0;65227.855;0.0;0.0;48275.234;68291.83
TOM1_HUMAN;TOM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
H2B1K_HUMAN;H2BC12;384033.8;229835.56;137225.03;284841.7;0.0;142294.78;0.0;100331.59
CCD22_HUMAN;CCDC22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EDF1_HUMAN;EDF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNJA2_HUMAN;DNAJA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CUTA_HUMAN;CUTA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PFD1_HUMAN;PFDN1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
XYLK_HUMAN;FAM20B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
WDR1_HUMAN;WDR1;377075.5;230516.8;233818.73;298450.88;103748.016;235371.42;410657.34;333933.16
SLIT3_HUMAN;SLIT3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MEGF6_HUMAN;MEGF6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ROCK2_HUMAN;ROCK2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CPNE3_HUMAN;CPNE3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ICOSL_HUMAN;ICOSLG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DJC13_HUMAN;DNAJC13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GGCT_HUMAN;GGCT;0.0;0.0;0.0;67051.36;0.0;0.0;83587.305;66311.516
SEM7A_HUMAN;SEMA7A;83469.56;136426.58;148913.31;152472.02;0.0;85510.69;0.0;76072.05
CILP1_HUMAN;CILP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDCD6_HUMAN;PDCD6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40819.62
TBCA_HUMAN;TBCA;236637.3;200672.03;191892.23;357372.0;108136.984;175114.14;209581.73;264118.97
VATG1_HUMAN;ATP6V1G1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
H2AY_HUMAN;MACROH2A1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SH3L1_HUMAN;SH3BGRL;223226.14;180523.44;212183.5;198182.2;132258.69;161871.06;161436.23;176085.39
FLNB_HUMAN;FLNB;340615.0;167875.86;120551.73;221816.83;162489.3;177835.69;215808.44;256528.28
NDUS6_HUMAN;NDUFS6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CISY_HUMAN;CS;0.0;0.0;52626.195;66159.305;0.0;0.0;0.0;0.0
SC22B_HUMAN;SEC22B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PR40A_HUMAN;PRPF40A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MTX2_HUMAN;MTX2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP26A_HUMAN;VPS26A;106791.695;105321.84;99309.695;118717.81;0.0;83893.37;90240.17;96516.555
CRLF1_HUMAN;CRLF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GPC4_HUMAN;GPC4;0.0;0.0;0.0;0.0;70975.086;129784.7;0.0;0.0
CLN5_HUMAN;CLN5;0.0;243134.66;137896.19;204569.7;182954.83;0.0;167591.33;220538.52
CLD11_HUMAN;CLDN11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TNR21_HUMAN;TNFRSF21;0.0;0.0;0.0;0.0;105365.625;0.0;54522.68;0.0
BAF_HUMAN;BANF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SF3B1_HUMAN;SF3B1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSDE1_HUMAN;CSDE1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LYPA1_HUMAN;LYPLA1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CREG1_HUMAN;CREG1;0.0;61081.492;0.0;0.0;154839.45;0.0;91564.94;124844.39
SPB7_HUMAN;SERPINB7;0.0;204545.84;138762.84;0.0;0.0;228406.36;0.0;0.0
U520_HUMAN;SNRNP200;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TIPRL_HUMAN;TIPRL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
XRP2_HUMAN;RP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CRTAP_HUMAN;CRTAP;48053.59;76504.0;0.0;0.0;0.0;55051.59;54191.36;78826.81
B3GL1_HUMAN;B3GALNT1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PALM_HUMAN;PALM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3G_HUMAN;EIF3G;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CBR3_HUMAN;CBR3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IDHC_HUMAN;IDH1;292667.97;120652.51;172635.92;189675.31;112962.47;114456.49;280469.47;282338.1
ATRN_HUMAN;ATRN;0.0;113704.234;106535.45;75627.02;145440.77;115299.984;81779.91;95513.664
RBBP9_HUMAN;RBBP9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STAM2_HUMAN;STAM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PRAF3_HUMAN;ARL6IP5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SPF27_HUMAN;BCAS2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNJC8_HUMAN;DNAJC8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TSN9_HUMAN;TSPAN9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FLOT1_HUMAN;FLOT1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GLRX3_HUMAN;GLRX3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
S14L2_HUMAN;SEC14L2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STC2_HUMAN;STC2;304976.94;424663.44;467437.4;762364.7;305917.5;613307.56;609754.75;568803.2
PDE5A_HUMAN;PDE5A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CCN5_HUMAN;CCN5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SRP72_HUMAN;SRP72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DDAH1_HUMAN;DDAH1;0.0;0.0;89525.3;89795.125;0.0;0.0;91121.766;0.0
B3GA3_HUMAN;B3GAT3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ECM2_HUMAN;ECM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AL1A2_HUMAN;ALDH1A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STK10_HUMAN;STK10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SLIT2_HUMAN;SLIT2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TOM70_HUMAN;TOMM70;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC24D_HUMAN;SEC24D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NFASC_HUMAN;NFASC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SRBS2_HUMAN;SORBS2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;143016.52
UBXN7_HUMAN;UBXN7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLPHP_HUMAN;PLPBP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DKK1_HUMAN;DKK1;0.0;0.0;0.0;0.0;97743.805;0.0;58860.285;0.0
ENDD1_HUMAN;ENDOD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP2A2_HUMAN;AP2A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC31A_HUMAN;SEC31A;81873.97;65747.805;0.0;65826.65;0.0;0.0;42821.508;63189.477
CSTN1_HUMAN;CLSTN1;276612.53;333042.03;359155.9;406116.22;340477.8;343459.16;309228.03;348295.06
PRS23_HUMAN;PRSS23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GBRAP_HUMAN;GABARAP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UNC5C_HUMAN;UNC5C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RTN3_HUMAN;RTN3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LETM1_HUMAN;LETM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
