Protein.ID;Gene;Ad_c_111 MaxLFQ Intensity;Ad_c_138 MaxLFQ Intensity;Ad_c_31 MaxLFQ Intensity;Ad_c_45 MaxLFQ Intensity;Ad_dif_111 MaxLFQ Intensity;Ad_dif_138 MaxLFQ Intensity;Ad_dif_31 MaxLFQ Intensity;Ad_dif_45 MaxLFQ Intensity
RNT2_HUMAN;RNASET2;94820.03;0.0;0.0;0.0;76514.016;57809.25;66246.92;0.0
CCN1_HUMAN;CCN1;71305.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PIR_HUMAN;PIR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IMA3_HUMAN;KPNA4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PPP6_HUMAN;PPP6C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MA2B1_HUMAN;MAN2B1;88045.37;0.0;0.0;0.0;121632.4;115569.28;125853.234;100290.62
PDXK_HUMAN;PDXK;0.0;0.0;0.0;0.0;0.0;82204.28;75675.55;82617.49
ISLR_HUMAN;ISLR;1092827.8;504871.78;499184.7;909714.06;1762696.0;937505.8;1126060.4;664657.94
DPYL4_HUMAN;DPYSL4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSPB6_HUMAN;HSPB6;0.0;0.0;0.0;0.0;0.0;86903.4;183018.75;75524.1
UBFD1_HUMAN;UBFD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
COPE_HUMAN;COPE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IF1AY_HUMAN;EIF1AY;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP3D1_HUMAN;AP3D1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DVL2_HUMAN;DVL2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TOR1B_HUMAN;TOR1B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ADA10_HUMAN;ADAM10;114436.9;0.0;0.0;107804.42;107799.805;81880.336;78193.57;74238.59
PDCD5_HUMAN;PDCD5;0.0;0.0;0.0;0.0;0.0;36443.883;0.0;44504.363
ANM5_HUMAN;PRMT5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NHRF1_HUMAN;SLC9A3R1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPP1_HUMAN;TPP1;86085.25;0.0;0.0;0.0;179320.73;95559.58;0.0;223066.6
NRP1_HUMAN;NRP1;152554.7;85335.63;0.0;115268.83;100205.75;67219.35;93513.39;78655.57
PSA7_HUMAN;PSMA7;109176.484;0.0;0.0;0.0;0.0;0.0;0.0;50352.305
SCAM3_HUMAN;SCAMP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OPLA_HUMAN;OPLAH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TX1B3_HUMAN;TAX1BP3;0.0;0.0;0.0;0.0;0.0;223653.02;126669.02;0.0
GIPC1_HUMAN;GIPC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PCD17_HUMAN;PCDH17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UB2L6_HUMAN;UBE2L6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ML12B_HUMAN;MYL12B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HGS_HUMAN;HGS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP26C_HUMAN;VPS26C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MYPT1_HUMAN;PPP1R12A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRDL_HUMAN;HNRNPDL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
XPO1_HUMAN;XPO1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLXB2_HUMAN;PLXNB2;56165.37;0.0;0.0;61052.164;71395.875;50619.336;49971.207;54035.95
SR140_HUMAN;U2SURP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PUR4_HUMAN;PFAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ATS3_HUMAN;ADAMTS3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANR28_HUMAN;ANKRD28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LSM1_HUMAN;LSM1;0.0;0.0;0.0;0.0;0.0;0.0;44695.582;0.0
NPC1_HUMAN;NPC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARC1B_HUMAN;ARPC1B;0.0;0.0;0.0;0.0;0.0;41605.32;45040.05;44820.457
ARPC2_HUMAN;ARPC2;0.0;0.0;0.0;0.0;0.0;58592.203;50971.62;71132.82
ARPC3_HUMAN;ARPC3;0.0;0.0;0.0;0.0;0.0;65495.676;97076.38;67022.76
PGRC2_HUMAN;PGRMC2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PFD6_HUMAN;PFDN6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LAMA5_HUMAN;LAMA5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ZN185_HUMAN;ZNF185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MATN3_HUMAN;MATN3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PMM2_HUMAN;PMM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMGB3_HUMAN;HMGB3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3D_HUMAN;EIF3D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3H_HUMAN;EIF3H;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NCAM2_HUMAN;NCAM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STX7_HUMAN;STX7;0.0;0.0;0.0;0.0;59021.805;72465.56;55076.93;72432.4
P4HA2_HUMAN;P4HA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
YKT6_HUMAN;YKT6;0.0;0.0;0.0;0.0;34346.86;63540.277;48759.527;82124.125
ARPC5_HUMAN;ARPC5;0.0;0.0;0.0;0.0;0.0;236162.14;229532.23;304403.62
DHX15_HUMAN;DHX15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ASAP2_HUMAN;ASAP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FLRT2_HUMAN;FLRT2;60918.227;0.0;0.0;61674.945;0.0;59410.117;40105.47;67114.44
SERA_HUMAN;PHGDH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ADA12_HUMAN;ADAM12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DC1L2_HUMAN;DYNC1LI2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSMD3_HUMAN;PSMD3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B4GT5_HUMAN;B4GALT5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TGFI1_HUMAN;TGFB1I1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MCA3_HUMAN;EEF1E1;0.0;0.0;0.0;0.0;0.0;53558.246;48549.95;59555.812
HNRPR_HUMAN;HNRNPR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TXNL1_HUMAN;TXNL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPD54_HUMAN;TPD52L2;0.0;0.0;0.0;0.0;78988.52;116473.57;92271.21;107390.74
PPIH_HUMAN;PPIH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HTRA2_HUMAN;HTRA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARK72_HUMAN;AKR7A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
E41L2_HUMAN;EPB41L2;0.0;0.0;0.0;0.0;0.0;68637.41;67601.1;54152.027
TGON2_HUMAN;TGOLN2;0.0;0.0;0.0;0.0;69135.05;0.0;43236.01;0.0
LTOR5_HUMAN;LAMTOR5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B4GA1_HUMAN;B4GAT1;93091.414;68612.11;0.0;75923.29;114070.53;48684.29;80546.0;53750.887
TNF12_HUMAN;TNFSF12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SGCE_HUMAN;SGCE;61144.21;0.0;0.0;60452.434;73727.47;53111.43;58116.36;48121.72
CAH12_HUMAN;CA12;0.0;0.0;0.0;0.0;0.0;0.0;140244.03;0.0
DENR_HUMAN;DENR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNPH1_HUMAN;DNPH1;0.0;0.0;0.0;0.0;0.0;49838.777;0.0;0.0
TPPC3_HUMAN;TRAPPC3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLRG1_HUMAN;PLRG1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GET3_HUMAN;GET3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BUB3_HUMAN;BUB3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ACTN4_HUMAN;ACTN4;0.0;0.0;0.0;0.0;122024.055;79420.34;112564.42;128814.47
AP1G1_HUMAN;AP1G1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SYNC_HUMAN;NARS1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CPSF5_HUMAN;NUDT21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LANC1_HUMAN;LANCL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STRN_HUMAN;STRN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AKAP8_HUMAN;AKAP8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANGL7_HUMAN;ANGPTL7;0.0;0.0;0.0;0.0;0.0;0.0;86855.2;0.0
NRDC_HUMAN;NRDC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CALU_HUMAN;CALU;379994.38;127923.74;155050.94;227725.05;264229.12;106336.78;149486.98;247596.67
EDIL3_HUMAN;EDIL3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SAHH2_HUMAN;AHCYL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TLL1_HUMAN;TLL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VEGFD_HUMAN;VEGFD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDE6D_HUMAN;PDE6D;0.0;0.0;0.0;0.0;0.0;46377.473;0.0;45043.996
AK1BA_HUMAN;AKR1B10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GMFG_HUMAN;GMFG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PCDH7_HUMAN;PCDH7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
JIP4_HUMAN;SPAG9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SUSD5_HUMAN;SUSD5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PCDGC_HUMAN;PCDHGA12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GSDME_HUMAN;GSDME;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NRP2_HUMAN;NRP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60197.605
ACSL4_HUMAN;ACSL4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNX3_HUMAN;SNX3;0.0;0.0;0.0;0.0;0.0;73353.44;71413.13;0.0
VINEX_HUMAN;SORBS3;0.0;0.0;0.0;0.0;0.0;48021.86;49370.41;0.0
HNRPQ_HUMAN;SYNCRIP;0.0;0.0;0.0;0.0;0.0;177161.9;130472.875;117305.46
TPST1_HUMAN;TPST1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GREM1_HUMAN;GREM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLOD3_HUMAN;PLOD3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DIAP1_HUMAN;DIAPH1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLIN3_HUMAN;PLIN3;0.0;0.0;0.0;0.0;106673.71;127751.12;137760.0;130337.24
SRPX2_HUMAN;SRPX2;53686.63;55694.965;0.0;0.0;242354.47;0.0;37494.516;0.0
UGDH_HUMAN;UGDH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LPXN_HUMAN;LPXN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CTND1_HUMAN;CTNND1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNX2_HUMAN;SNX2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
USO1_HUMAN;USO1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TOM1_HUMAN;TOM1;0.0;0.0;0.0;0.0;0.0;105823.23;0.0;0.0
H2B1K_HUMAN;H2BC12;271997.28;85322.03;116812.52;155827.6;102914.914;0.0;0.0;84420.39
CCD22_HUMAN;CCDC22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EDF1_HUMAN;EDF1;0.0;0.0;0.0;0.0;0.0;54432.824;49994.723;41392.934
DNJA2_HUMAN;DNAJA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CUTA_HUMAN;CUTA;174676.47;183833.16;153905.4;183607.52;146256.12;402067.78;255467.1;356371.16
PFD1_HUMAN;PFDN1;0.0;0.0;0.0;0.0;0.0;49083.73;47560.418;50978.625
XYLK_HUMAN;FAM20B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
WDR1_HUMAN;WDR1;0.0;0.0;0.0;0.0;0.0;122039.055;86576.5;0.0
SLIT3_HUMAN;SLIT3;242912.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MEGF6_HUMAN;MEGF6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ROCK2_HUMAN;ROCK2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CPNE3_HUMAN;CPNE3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ICOSL_HUMAN;ICOSLG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DJC13_HUMAN;DNAJC13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GGCT_HUMAN;GGCT;71866.45;0.0;0.0;0.0;74835.51;93047.6;75638.375;88030.7
SEM7A_HUMAN;SEMA7A;170430.5;94564.26;0.0;118025.99;118237.414;101342.97;89647.375;72511.13
CILP1_HUMAN;CILP;0.0;70694.52;0.0;46624.793;0.0;228504.25;127811.164;92895.47
PDCD6_HUMAN;PDCD6;53291.188;0.0;0.0;0.0;0.0;98537.24;78964.63;75865.17
TBCA_HUMAN;TBCA;0.0;0.0;0.0;0.0;143724.95;219013.28;201610.47;206050.34
VATG1_HUMAN;ATP6V1G1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
H2AY_HUMAN;MACROH2A1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SH3L1_HUMAN;SH3BGRL;96537.69;74491.08;80850.1;100292.875;200916.78;373465.2;295842.06;306476.5
FLNB_HUMAN;FLNB;0.0;0.0;0.0;246618.16;100668.21;89509.67;91303.23;109409.89
NDUS6_HUMAN;NDUFS6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CISY_HUMAN;CS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC22B_HUMAN;SEC22B;0.0;0.0;0.0;0.0;0.0;80504.83;0.0;101731.84
PR40A_HUMAN;PRPF40A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MTX2_HUMAN;MTX2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP26A_HUMAN;VPS26A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CRLF1_HUMAN;CRLF1;117183.1;129962.54;118504.74;99566.68;123895.39;119309.164;138680.17;101488.43
GPC4_HUMAN;GPC4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CLN5_HUMAN;CLN5;0.0;0.0;0.0;0.0;126249.69;0.0;83245.33;70002.19
CLD11_HUMAN;CLDN11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TNR21_HUMAN;TNFRSF21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BAF_HUMAN;BANF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SF3B1_HUMAN;SF3B1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSDE1_HUMAN;CSDE1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LYPA1_HUMAN;LYPLA1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CREG1_HUMAN;CREG1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SPB7_HUMAN;SERPINB7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
U520_HUMAN;SNRNP200;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TIPRL_HUMAN;TIPRL;0.0;0.0;0.0;0.0;0.0;40880.965;0.0;41695.902
XRP2_HUMAN;RP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CRTAP_HUMAN;CRTAP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B3GL1_HUMAN;B3GALNT1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PALM_HUMAN;PALM;0.0;0.0;0.0;0.0;0.0;80729.055;100501.164;0.0
EIF3G_HUMAN;EIF3G;0.0;0.0;0.0;0.0;0.0;38372.414;0.0;44759.34
CBR3_HUMAN;CBR3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IDHC_HUMAN;IDH1;0.0;0.0;0.0;0.0;0.0;44961.258;0.0;0.0
ATRN_HUMAN;ATRN;83417.85;58330.48;0.0;57229.316;102178.23;74856.08;80908.375;0.0
RBBP9_HUMAN;RBBP9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STAM2_HUMAN;STAM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PRAF3_HUMAN;ARL6IP5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SPF27_HUMAN;BCAS2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNJC8_HUMAN;DNAJC8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TSN9_HUMAN;TSPAN9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FLOT1_HUMAN;FLOT1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GLRX3_HUMAN;GLRX3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
S14L2_HUMAN;SEC14L2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STC2_HUMAN;STC2;0.0;0.0;0.0;0.0;159187.4;0.0;71246.8;102897.79
PDE5A_HUMAN;PDE5A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CCN5_HUMAN;CCN5;0.0;0.0;0.0;0.0;149788.17;171906.52;275508.03;95754.68
SRP72_HUMAN;SRP72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DDAH1_HUMAN;DDAH1;0.0;0.0;0.0;0.0;104117.23;160944.58;141084.88;149914.98
B3GA3_HUMAN;B3GAT3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ECM2_HUMAN;ECM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AL1A2_HUMAN;ALDH1A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STK10_HUMAN;STK10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SLIT2_HUMAN;SLIT2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TOM70_HUMAN;TOMM70;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC24D_HUMAN;SEC24D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NFASC_HUMAN;NFASC;50469.387;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SRBS2_HUMAN;SORBS2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBXN7_HUMAN;UBXN7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLPHP_HUMAN;PLPBP;0.0;0.0;0.0;0.0;0.0;47227.664;36317.79;0.0
DKK1_HUMAN;DKK1;0.0;0.0;0.0;0.0;69512.016;41365.348;0.0;45774.957
ENDD1_HUMAN;ENDOD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP2A2_HUMAN;AP2A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC31A_HUMAN;SEC31A;0.0;0.0;0.0;0.0;0.0;93528.58;76373.46;81473.914
CSTN1_HUMAN;CLSTN1;191071.61;167289.98;190854.61;220939.0;276754.25;170211.33;192971.23;148919.12
PRS23_HUMAN;PRSS23;51323.15;0.0;0.0;64756.156;71245.484;128301.6;93360.336;85308.79
GBRAP_HUMAN;GABARAP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UNC5C_HUMAN;UNC5C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RTN3_HUMAN;RTN3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LETM1_HUMAN;LETM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EPN2_HUMAN;EPN2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNX4_HUMAN;SNX4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
