Protein.ID;Gene;Ost_c_1111 MaxLFQ Intensity;Ost_c_12 MaxLFQ Intensity;Ost_c_20 MaxLFQ Intensity;Ost_c_22 MaxLFQ Intensity;Ost_dif_1111 MaxLFQ Intensity;Ost_dif_12 MaxLFQ Intensity;Ost_dif_20 MaxLFQ Intensity;Ost_dif_22 MaxLFQ Intensity
RNT2_HUMAN;RNASET2;0.0;0.0;57784.965;0.0;0.0;0.0;117788.75;102987.8
CCN1_HUMAN;CCN1;0.0;0.0;67637.91;115953.74;98269.99;0.0;0.0;0.0
PIR_HUMAN;PIR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IMA3_HUMAN;KPNA4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PPP6_HUMAN;PPP6C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MA2B1_HUMAN;MAN2B1;0.0;0.0;74940.14;113697.07;91224.805;112047.164;105019.05;124648.33
PDXK_HUMAN;PDXK;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ISLR_HUMAN;ISLR;465516.97;621821.75;297010.34;415357.16;193004.81;367470.9;293847.47;245042.66
DPYL4_HUMAN;DPYSL4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSPB6_HUMAN;HSPB6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBFD1_HUMAN;UBFD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
COPE_HUMAN;COPE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IF1AY_HUMAN;EIF1AY;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP3D1_HUMAN;AP3D1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DVL2_HUMAN;DVL2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TOR1B_HUMAN;TOR1B;0.0;0.0;51848.832;84576.266;0.0;0.0;81865.62;0.0
ADA10_HUMAN;ADAM10;0.0;0.0;55269.547;115774.195;114587.73;0.0;88789.34;90926.555
PDCD5_HUMAN;PDCD5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANM5_HUMAN;PRMT5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NHRF1_HUMAN;SLC9A3R1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPP1_HUMAN;TPP1;0.0;0.0;126094.52;174668.73;217211.8;199361.89;234895.75;254168.78
NRP1_HUMAN;NRP1;0.0;0.0;108521.59;144204.6;79598.05;0.0;95638.445;112897.52
PSA7_HUMAN;PSMA7;0.0;0.0;0.0;83027.11;0.0;0.0;0.0;0.0
SCAM3_HUMAN;SCAMP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OPLA_HUMAN;OPLAH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TX1B3_HUMAN;TAX1BP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GIPC1_HUMAN;GIPC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PCD17_HUMAN;PCDH17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UB2L6_HUMAN;UBE2L6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ML12B_HUMAN;MYL12B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HGS_HUMAN;HGS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP26C_HUMAN;VPS26C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MYPT1_HUMAN;PPP1R12A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRDL_HUMAN;HNRNPDL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
XPO1_HUMAN;XPO1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLXB2_HUMAN;PLXNB2;0.0;0.0;36854.82;70138.49;49826.426;0.0;0.0;48549.98
SR140_HUMAN;U2SURP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PUR4_HUMAN;PFAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ATS3_HUMAN;ADAMTS3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANR28_HUMAN;ANKRD28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LSM1_HUMAN;LSM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NPC1_HUMAN;NPC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARC1B_HUMAN;ARPC1B;0.0;76812.24;0.0;0.0;59016.117;0.0;0.0;0.0
ARPC2_HUMAN;ARPC2;0.0;0.0;0.0;87185.87;0.0;0.0;0.0;0.0
ARPC3_HUMAN;ARPC3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PGRC2_HUMAN;PGRMC2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PFD6_HUMAN;PFDN6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LAMA5_HUMAN;LAMA5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ZN185_HUMAN;ZNF185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MATN3_HUMAN;MATN3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PMM2_HUMAN;PMM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMGB3_HUMAN;HMGB3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3D_HUMAN;EIF3D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3H_HUMAN;EIF3H;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NCAM2_HUMAN;NCAM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STX7_HUMAN;STX7;0.0;0.0;0.0;83325.88;0.0;0.0;0.0;0.0
P4HA2_HUMAN;P4HA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
YKT6_HUMAN;YKT6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARPC5_HUMAN;ARPC5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DHX15_HUMAN;DHX15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ASAP2_HUMAN;ASAP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FLRT2_HUMAN;FLRT2;0.0;0.0;43103.668;0.0;0.0;0.0;0.0;0.0
SERA_HUMAN;PHGDH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ADA12_HUMAN;ADAM12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DC1L2_HUMAN;DYNC1LI2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSMD3_HUMAN;PSMD3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B4GT5_HUMAN;B4GALT5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TGFI1_HUMAN;TGFB1I1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MCA3_HUMAN;EEF1E1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRPR_HUMAN;HNRNPR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TXNL1_HUMAN;TXNL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPD54_HUMAN;TPD52L2;0.0;0.0;0.0;84827.54;0.0;0.0;0.0;0.0
PPIH_HUMAN;PPIH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HTRA2_HUMAN;HTRA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARK72_HUMAN;AKR7A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
E41L2_HUMAN;EPB41L2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TGON2_HUMAN;TGOLN2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LTOR5_HUMAN;LAMTOR5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B4GA1_HUMAN;B4GAT1;0.0;0.0;54543.977;121070.45;68414.125;0.0;76573.51;111153.73
TNF12_HUMAN;TNFSF12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SGCE_HUMAN;SGCE;0.0;0.0;0.0;0.0;0.0;0.0;65807.25;86990.94
CAH12_HUMAN;CA12;0.0;0.0;115067.25;191216.47;0.0;0.0;135643.03;151924.28
DENR_HUMAN;DENR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNPH1_HUMAN;DNPH1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPPC3_HUMAN;TRAPPC3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLRG1_HUMAN;PLRG1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GET3_HUMAN;GET3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BUB3_HUMAN;BUB3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ACTN4_HUMAN;ACTN4;297204.34;722793.75;0.0;288234.75;182564.89;256712.2;140139.97;170504.17
AP1G1_HUMAN;AP1G1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SYNC_HUMAN;NARS1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CPSF5_HUMAN;NUDT21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LANC1_HUMAN;LANCL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STRN_HUMAN;STRN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AKAP8_HUMAN;AKAP8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANGL7_HUMAN;ANGPTL7;0.0;0.0;0.0;0.0;104858.91;145092.27;0.0;0.0
NRDC_HUMAN;NRDC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CALU_HUMAN;CALU;114478.7;106950.19;396951.84;394954.44;85752.46;0.0;417726.72;270135.1
EDIL3_HUMAN;EDIL3;0.0;311830.6;185166.06;278012.66;0.0;0.0;161178.27;113383.625
SAHH2_HUMAN;AHCYL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TLL1_HUMAN;TLL1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VEGFD_HUMAN;VEGFD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDE6D_HUMAN;PDE6D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AK1BA_HUMAN;AKR1B10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GMFG_HUMAN;GMFG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PCDH7_HUMAN;PCDH7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
JIP4_HUMAN;SPAG9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SUSD5_HUMAN;SUSD5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PCDGC_HUMAN;PCDHGA12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GSDME_HUMAN;GSDME;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NRP2_HUMAN;NRP2;0.0;0.0;0.0;57233.105;0.0;0.0;0.0;0.0
ACSL4_HUMAN;ACSL4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNX3_HUMAN;SNX3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VINEX_HUMAN;SORBS3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRPQ_HUMAN;SYNCRIP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TPST1_HUMAN;TPST1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GREM1_HUMAN;GREM1;0.0;0.0;58196.914;0.0;103247.83;0.0;0.0;0.0
PLOD3_HUMAN;PLOD3;0.0;111962.87;0.0;0.0;123894.49;0.0;0.0;0.0
DIAP1_HUMAN;DIAPH1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLIN3_HUMAN;PLIN3;0.0;0.0;0.0;118899.6;0.0;0.0;0.0;0.0
SRPX2_HUMAN;SRPX2;0.0;0.0;0.0;93508.14;62923.58;116940.02;99883.75;87194.09
UGDH_HUMAN;UGDH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LPXN_HUMAN;LPXN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CTND1_HUMAN;CTNND1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNX2_HUMAN;SNX2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
USO1_HUMAN;USO1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TOM1_HUMAN;TOM1;0.0;0.0;0.0;83775.48;0.0;0.0;0.0;0.0
H2B1K_HUMAN;H2BC12;175096.6;211094.55;151304.72;150091.81;56774.99;142917.5;0.0;128908.836
CCD22_HUMAN;CCDC22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EDF1_HUMAN;EDF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNJA2_HUMAN;DNAJA2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CUTA_HUMAN;CUTA;0.0;0.0;237006.6;397037.22;0.0;0.0;164514.86;197017.4
PFD1_HUMAN;PFDN1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
XYLK_HUMAN;FAM20B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
WDR1_HUMAN;WDR1;0.0;0.0;79161.53;103745.336;0.0;0.0;0.0;0.0
SLIT3_HUMAN;SLIT3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MEGF6_HUMAN;MEGF6;0.0;0.0;43692.297;0.0;158907.47;0.0;0.0;0.0
ROCK2_HUMAN;ROCK2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CPNE3_HUMAN;CPNE3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ICOSL_HUMAN;ICOSLG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DJC13_HUMAN;DNAJC13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GGCT_HUMAN;GGCT;0.0;0.0;47818.6;0.0;0.0;0.0;0.0;0.0
SEM7A_HUMAN;SEMA7A;88681.6;0.0;96680.97;80696.84;68196.61;0.0;121777.22;74968.54
CILP1_HUMAN;CILP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDCD6_HUMAN;PDCD6;0.0;0.0;56540.523;141587.3;0.0;0.0;0.0;0.0
TBCA_HUMAN;TBCA;0.0;0.0;135760.84;199913.75;0.0;0.0;97372.28;88075.06
VATG1_HUMAN;ATP6V1G1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
H2AY_HUMAN;MACROH2A1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SH3L1_HUMAN;SH3BGRL;0.0;186843.61;123229.7;193579.66;98961.02;0.0;151512.14;155953.7
FLNB_HUMAN;FLNB;0.0;0.0;101650.43;128819.195;0.0;0.0;131933.62;116176.21
NDUS6_HUMAN;NDUFS6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CISY_HUMAN;CS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC22B_HUMAN;SEC22B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PR40A_HUMAN;PRPF40A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MTX2_HUMAN;MTX2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP26A_HUMAN;VPS26A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CRLF1_HUMAN;CRLF1;0.0;0.0;0.0;106370.95;80732.586;84441.43;93393.06;134535.95
GPC4_HUMAN;GPC4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CLN5_HUMAN;CLN5;0.0;0.0;0.0;0.0;0.0;0.0;140372.55;0.0
CLD11_HUMAN;CLDN11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TNR21_HUMAN;TNFRSF21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BAF_HUMAN;BANF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SF3B1_HUMAN;SF3B1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSDE1_HUMAN;CSDE1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LYPA1_HUMAN;LYPLA1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CREG1_HUMAN;CREG1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SPB7_HUMAN;SERPINB7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
U520_HUMAN;SNRNP200;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TIPRL_HUMAN;TIPRL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
XRP2_HUMAN;RP2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CRTAP_HUMAN;CRTAP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B3GL1_HUMAN;B3GALNT1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PALM_HUMAN;PALM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3G_HUMAN;EIF3G;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CBR3_HUMAN;CBR3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IDHC_HUMAN;IDH1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ATRN_HUMAN;ATRN;0.0;0.0;61273.277;117206.555;117208.1;0.0;103733.18;104009.49
RBBP9_HUMAN;RBBP9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STAM2_HUMAN;STAM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PRAF3_HUMAN;ARL6IP5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SPF27_HUMAN;BCAS2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNJC8_HUMAN;DNAJC8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TSN9_HUMAN;TSPAN9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FLOT1_HUMAN;FLOT1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GLRX3_HUMAN;GLRX3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
S14L2_HUMAN;SEC14L2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STC2_HUMAN;STC2;0.0;0.0;112917.69;0.0;147369.3;152113.48;119977.31;134443.84
PDE5A_HUMAN;PDE5A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CCN5_HUMAN;CCN5;0.0;0.0;0.0;101992.74;137000.55;0.0;0.0;118888.08
SRP72_HUMAN;SRP72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DDAH1_HUMAN;DDAH1;0.0;0.0;45811.434;0.0;0.0;0.0;0.0;0.0
B3GA3_HUMAN;B3GAT3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ECM2_HUMAN;ECM2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AL1A2_HUMAN;ALDH1A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STK10_HUMAN;STK10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SLIT2_HUMAN;SLIT2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TOM70_HUMAN;TOMM70;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC24D_HUMAN;SEC24D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NFASC_HUMAN;NFASC;0.0;0.0;53765.44;71849.96;0.0;0.0;0.0;0.0
SRBS2_HUMAN;SORBS2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBXN7_HUMAN;UBXN7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PLPHP_HUMAN;PLPBP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DKK1_HUMAN;DKK1;0.0;0.0;0.0;0.0;71136.984;0.0;0.0;0.0
ENDD1_HUMAN;ENDOD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP2A2_HUMAN;AP2A2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC31A_HUMAN;SEC31A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTN1_HUMAN;CLSTN1;173728.94;170901.14;180519.34;274682.06;171057.56;240857.42;135992.62;214660.17
PRS23_HUMAN;PRSS23;0.0;0.0;93606.8;98486.43;67998.81;0.0;126071.06;103105.58
GBRAP_HUMAN;GABARAP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UNC5C_HUMAN;UNC5C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RTN3_HUMAN;RTN3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LETM1_HUMAN;LETM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EPN2_HUMAN;EPN2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNX4_HUMAN;SNX4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GOSR1_HUMAN;GOSR1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VAPB_HUMAN;VAPB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
